order_id,order_date,customer_id,order_value,payment_type,warehouse,order_status
ORD94,2024-02-03,4099,128.15,COD,Delhi,Delivered
ORD95,2024-06-18,1200,281.72,Wallet,Mumbai,Delivered
ORD96,2024-04-28,5875,119.4,COD,Hyderabad,Delayed
ORD97,2024-02-06,4104,202.58,Wallet,Hyderabad,Delivered
ORD98,2024-04-01,5598,83.98,COD,Bangalore,Delayed
ORD99,2024-04-13,3454,46.84,COD,Hyderabad,Delivered
ORD100,2024-01-13,4645,26.98,Credit Card,Mumbai,Delivered
ORD101,2024-06-10,1804,98.57,UPI,Mumbai,Delivered
ORD102,2024-06-05,3731,55.72,COD,Hyderabad,Cancelled
ORD103,2024-02-10,3773,60.46,Wallet,Mumbai,Delivered
ORD104,2024-01-26,2570,230.62,UPI,Delhi,Delivered
ORD105,2024-05-02,3690,14.59,UPI,Delhi,Delivered
ORD106,2024-03-14,4840,171.76,COD,Mumbai,Delivered
ORD107,2024-06-21,2028,120.04,COD,Hyderabad,Delivered
ORD108,2024-05-31,1502,156.9,COD,Delhi,Delivered
ORD109,2024-06-06,5493,173.22,UPI,Hyderabad,Delivered
ORD110,2024-04-27,1870,100.88,Credit Card,Mumbai,Delivered
ORD111,2024-03-27,5488,95.58,COD,Bangalore,Delivered
ORD112,2024-05-16,1206,222.69,UPI,Delhi,Delivered
ORD113,2024-06-16,2484,262.67,UPI,Mumbai,Delivered
ORD114,2024-03-14,1863,65.85,Wallet,Delhi,Delivered
ORD115,2024-03-11,3790,38.31,COD,Hyderabad,Delivered
ORD116,2024-05-01,1563,270.36,Credit Card,Bangalore,Delivered
ORD117,2024-06-26,5191,111.47,Wallet,Bangalore,Delivered
ORD118,2024-05-07,2757,169.88,COD,Mumbai,Delivered
ORD119,2024-03-13,2678,114.27,Wallet,Delhi,Delivered
ORD120,2024-04-11,4242,46.48,COD,Bangalore,Delivered
ORD121,2024-01-01,5636,180.91,Wallet,Delhi,Delivered
ORD122,2024-01-31,2059,162.29,Credit Card,Hyderabad,Delivered
ORD123,2024-06-14,2722,68.87,Wallet,Hyderabad,Delivered
ORD124,2024-05-04,4314,141.04,Wallet,Mumbai,Delivered
ORD125,2024-03-06,4157,241.11,Wallet,Bangalore,Delivered
ORD126,2024-01-28,3625,181.22,COD,Bangalore,Delivered
ORD127,2024-04-11,3729,38.11,COD,Delhi,Delayed
ORD128,2024-02-29,2597,168.93,Credit Card,Hyderabad,Delivered
ORD129,2024-05-02,4060,213.79,Wallet,Bangalore,Cancelled
ORD130,2024-02-06,3693,239.88,UPI,Mumbai,Delivered
ORD131,2024-01-07,5891,192.44,Wallet,Mumbai,Delayed
ORD132,2024-01-12,4627,54.27,UPI,Bangalore,Delivered
ORD133,2024-03-19,2363,215.95,UPI,Mumbai,Delayed
ORD134,2024-02-15,2981,206.43,Wallet,Bangalore,Delivered
ORD135,2024-06-01,2663,17.08,UPI,Bangalore,Delivered
ORD136,2024-06-23,2529,129.41,UPI,Bangalore,Delivered
ORD137,2024-05-11,3038,106.56,Wallet,Bangalore,Cancelled
ORD138,2024-02-10,4302,204.13,COD,Delhi,Cancelled
ORD139,2024-04-21,3237,72.68,Wallet,Bangalore,Delivered
ORD140,2024-06-16,2306,181.35,Credit Card,Mumbai,Delivered
ORD141,2024-02-11,5029,274.83,UPI,Hyderabad,Delivered
ORD142,2024-04-17,3675,241.36,Credit Card,Delhi,Delivered
ORD143,2024-06-19,2282,277.22,UPI,Hyderabad,Delivered
ORD144,2024-05-30,1709,293.77,COD,Hyderabad,Cancelled
ORD145,2024-04-16,5744,13.09,UPI,Hyderabad,Delivered
ORD146,2024-01-20,5413,190.59,Wallet,Hyderabad,Delivered
ORD147,2024-02-01,4748,129.72,UPI,Hyderabad,Delivered
ORD148,2024-05-25,5779,259.36,Credit Card,Mumbai,Delivered
ORD149,2024-02-16,1663,83.03,Wallet,Bangalore,Delivered
ORD150,2024-01-10,2998,294.5,Credit Card,Mumbai,Delivered
ORD151,2024-04-20,4445,187.98,COD,Delhi,Delivered
ORD152,2024-05-23,4743,240.13,Credit Card,Mumbai,Delivered
ORD153,2024-03-15,2495,34.82,Credit Card,Delhi,Delivered
ORD154,2024-03-09,4304,63.2,Credit Card,Bangalore,Delivered
ORD155,2024-06-07,4763,229.94,Wallet,Hyderabad,Delayed
ORD156,2024-01-14,2853,16.38,COD,Bangalore,Delivered
ORD157,2024-02-17,5659,246.89,COD,Mumbai,Delayed
ORD158,2024-03-19,2291,14.05,COD,Mumbai,Delivered
ORD159,2024-03-12,4581,200.56,Credit Card,Bangalore,Delivered
ORD160,2024-05-13,4457,115.88,Wallet,Bangalore,Delivered
ORD161,2024-04-23,2636,187.33,Wallet,Mumbai,Delivered
ORD162,2024-02-10,4696,211.85,Wallet,Bangalore,Delayed
ORD163,2024-06-21,3999,109.32,Credit Card,Delhi,Delivered
ORD164,2024-03-10,4152,41.31,COD,Delhi,Delivered
ORD165,2024-04-01,1698,30.2,Credit Card,Mumbai,Delivered
ORD166,2024-01-01,3160,180.79,Wallet,Mumbai,Delivered
ORD167,2024-01-28,5097,160.99,Credit Card,Bangalore,Delivered
ORD168,2024-06-07,5737,225.24,UPI,Bangalore,Delivered
ORD169,2024-06-27,1854,157.82,COD,Hyderabad,Delivered
ORD170,2024-04-01,4474,132.51,COD,Delhi,Delivered
ORD171,2024-05-24,2707,125.45,Wallet,Mumbai,Delivered
ORD172,2024-06-01,3777,17.67,Credit Card,Mumbai,Delivered
ORD173,2024-01-16,2733,107.31,Wallet,Mumbai,Delivered
ORD174,2024-05-26,5931,293.05,Credit Card,Mumbai,Delivered
ORD175,2024-05-25,4510,263.33,UPI,Hyderabad,Delivered
ORD176,2024-02-03,1202,105.52,COD,Delhi,Delivered
ORD177,2024-03-21,4255,180.46,COD,Hyderabad,Delivered
ORD178,2024-05-02,5218,255.72,Credit Card,Delhi,Cancelled
ORD179,2024-05-05,5496,137.97,COD,Mumbai,Delivered
ORD180,2024-01-21,1766,15.21,Credit Card,Delhi,Delivered
ORD181,2024-03-14,5389,31.61,Wallet,Mumbai,Delayed
ORD182,2024-03-20,3327,158.01,UPI,Hyderabad,Delivered
ORD183,2024-02-20,3931,291.14,Credit Card,Delhi,Delivered
ORD184,2024-06-17,1197,211.03,UPI,Bangalore,Delivered
ORD185,2024-01-15,2930,30.57,Wallet,Delhi,Delivered
ORD186,2024-02-01,4582,64.91,Wallet,Mumbai,Delivered
ORD187,2024-02-09,1608,233.68,Wallet,Bangalore,Delivered
ORD188,2024-06-13,4272,254.02,Credit Card,Mumbai,Delivered
ORD189,2024-04-02,2147,189.13,UPI,Bangalore,Delivered
ORD190,2024-02-04,5282,196.88,UPI,Bangalore,Delivered
ORD191,2024-03-06,4397,18.22,COD,Delhi,Delivered
ORD192,2024-01-19,3511,250.27,Credit Card,Delhi,Delivered
ORD193,2024-01-12,2794,238.6,COD,Bangalore,Delivered
ORD194,2024-01-08,1659,85.12,COD,Bangalore,Delayed
ORD195,2024-04-24,3811,215.52,Credit Card,Bangalore,Delivered
ORD196,2024-05-20,2369,72.31,COD,Mumbai,Delivered
ORD197,2024-02-15,2986,21.7,COD,Delhi,Delayed
ORD198,2024-05-12,1146,68.33,COD,Mumbai,Delayed
ORD199,2024-02-18,4219,61.8,Wallet,Delhi,Delivered
ORD200,2024-03-31,3911,107.95,Credit Card,Hyderabad,Delivered
ORD201,2024-01-27,2734,131.35,Wallet,Mumbai,Delivered
ORD202,2024-06-24,2843,157.48,COD,Delhi,Delayed
ORD203,2024-02-20,1488,148.26,COD,Bangalore,Delivered
ORD204,2024-01-28,3976,88.5,Wallet,Bangalore,Delivered
ORD205,2024-04-24,2959,18.46,COD,Delhi,Delivered
ORD206,2024-05-06,3385,185.48,Credit Card,Bangalore,Delivered
ORD207,2024-01-25,3919,124.77,UPI,Bangalore,Delivered
ORD208,2024-03-06,5736,96.61,Wallet,Hyderabad,Delivered
ORD209,2024-04-25,2802,261.41,UPI,Hyderabad,Delivered
ORD210,2024-05-01,5061,226.56,UPI,Hyderabad,Delivered
ORD211,2024-01-09,4369,258.75,UPI,Mumbai,Delivered
ORD212,2024-03-12,1262,153.55,Wallet,Hyderabad,Delivered
ORD213,2024-03-29,1623,47.97,COD,Hyderabad,Delivered
ORD214,2024-06-20,2016,211.9,Credit Card,Hyderabad,Cancelled
ORD215,2024-06-05,4643,69.76,COD,Delhi,Delivered
ORD216,2024-03-30,5976,137.96,Credit Card,Bangalore,Delivered
ORD217,2024-03-13,3049,28.85,COD,Delhi,Cancelled
ORD218,2024-04-17,4723,249.34,UPI,Hyderabad,Delivered
ORD219,2024-05-29,5548,46.52,UPI,Mumbai,Delayed
ORD220,2024-05-12,4108,271.9,Credit Card,Delhi,Delivered
ORD221,2024-01-29,5090,260.63,Wallet,Hyderabad,Delivered
ORD222,2024-06-06,3056,144.73,COD,Mumbai,Delivered
ORD223,2024-06-06,4170,225.87,UPI,Mumbai,Delayed
ORD224,2024-01-25,2682,189.64,Credit Card,Mumbai,Delayed
ORD225,2024-04-01,3255,242.89,COD,Bangalore,Delivered
ORD226,2024-05-27,2154,135.22,Credit Card,Mumbai,Delivered
ORD227,2024-01-12,5499,237.88,Wallet,Hyderabad,Delivered
ORD228,2024-03-07,4191,144.11,Wallet,Delhi,Delivered
ORD229,2024-03-27,2696,282.88,COD,Delhi,Delivered
ORD230,2024-06-24,4991,151.05,Wallet,Hyderabad,Delivered
ORD231,2024-05-29,5723,144.16,COD,Bangalore,Delivered
ORD232,2024-03-30,5682,237.67,COD,Bangalore,Delivered
ORD233,2024-05-26,2648,248.26,Wallet,Mumbai,Delivered
ORD234,2024-02-16,2445,170.8,Credit Card,Hyderabad,Delivered
ORD235,2024-01-21,5199,62.14,Credit Card,Mumbai,Delivered
ORD236,2024-05-26,4923,145.65,COD,Mumbai,Delayed
ORD237,2024-06-07,1253,290.74,UPI,Hyderabad,Delivered
ORD238,2024-03-19,4183,228.37,COD,Bangalore,Delivered
ORD239,2024-05-29,3557,245.24,Credit Card,Bangalore,Delivered
ORD240,2024-04-01,1098,19.52,COD,Delhi,Delayed
ORD241,2024-03-25,3200,145.68,Credit Card,Hyderabad,Delivered
ORD242,2024-03-23,3961,197.52,Wallet,Mumbai,Delivered
ORD243,2024-04-29,5973,250.71,COD,Hyderabad,Delayed
ORD244,2024-06-22,5433,24.29,COD,Mumbai,Delivered
ORD245,2024-06-19,4777,257.21,Wallet,Delhi,Delivered
ORD246,2024-02-09,3869,169.04,Wallet,Delhi,Delivered
ORD247,2024-04-17,4234,67.22,UPI,Delhi,Delayed
ORD248,2024-05-29,4791,102.0,Wallet,Delhi,Delivered
ORD249,2024-02-14,1956,91.76,UPI,Mumbai,Delivered
ORD250,2024-04-08,5067,163.95,Wallet,Bangalore,Delivered
ORD251,2024-06-22,1160,24.99,Credit Card,Mumbai,Delivered
ORD252,2024-01-15,5493,55.98,COD,Delhi,Cancelled
ORD253,2024-04-16,2300,245.68,Wallet,Bangalore,Delivered
ORD254,2024-06-23,5911,48.46,Credit Card,Hyderabad,Delivered
ORD255,2024-05-23,4987,77.68,Wallet,Mumbai,Cancelled
ORD256,2024-06-20,2527,141.48,COD,Hyderabad,Delivered
ORD257,2024-06-17,2218,159.97,Wallet,Delhi,Delivered
ORD258,2024-06-21,5496,231.45,Wallet,Hyderabad,Delivered
ORD259,2024-01-15,5735,139.73,COD,Bangalore,Delivered
ORD260,2024-02-07,4104,239.06,Wallet,Bangalore,Delivered
ORD261,2024-02-23,3735,189.32,COD,Bangalore,Delivered
ORD262,2024-02-12,5555,42.8,UPI,Mumbai,Delivered
ORD263,2024-03-29,1954,55.34,Wallet,Hyderabad,Delivered
ORD264,2024-03-22,5565,136.74,Credit Card,Hyderabad,Delivered
ORD265,2024-06-03,4446,125.1,Wallet,Hyderabad,Delivered
ORD266,2024-05-17,2045,225.63,COD,Delhi,Delivered
ORD267,2024-06-11,2693,178.41,COD,Mumbai,Delivered
ORD268,2024-02-26,4436,122.56,Credit Card,Mumbai,Delivered
ORD269,2024-02-09,1562,59.52,Credit Card,Hyderabad,Cancelled
ORD270,2024-02-10,3485,75.78,COD,Mumbai,Delayed
ORD271,2024-05-07,4354,176.9,UPI,Hyderabad,Delivered
ORD272,2024-05-03,1225,132.8,UPI,Hyderabad,Cancelled
ORD273,2024-05-04,5893,159.33,COD,Hyderabad,Cancelled
ORD274,2024-01-03,1959,59.5,UPI,Bangalore,Delivered
ORD275,2024-05-14,5548,202.24,Credit Card,Delhi,Delivered
ORD276,2024-06-12,4067,257.24,UPI,Mumbai,Cancelled
ORD277,2024-03-25,1815,84.8,Credit Card,Delhi,Delivered
ORD278,2024-01-08,5754,152.54,Wallet,Bangalore,Delivered
ORD279,2024-06-08,5642,292.9,Credit Card,Mumbai,Delivered
ORD280,2024-06-27,4120,106.64,Wallet,Hyderabad,Delivered
ORD281,2024-06-10,1016,182.56,Credit Card,Delhi,Delivered
ORD282,2024-01-13,2243,36.16,Credit Card,Bangalore,Delivered
ORD283,2024-06-21,3205,185.74,UPI,Mumbai,Delivered
ORD284,2024-04-24,3524,35.99,Credit Card,Mumbai,Delivered
ORD285,2024-05-05,2069,288.18,COD,Delhi,Delayed
ORD286,2024-03-21,4444,217.54,Wallet,Delhi,Delivered
ORD287,2024-04-27,3565,238.57,Wallet,Mumbai,Delivered
ORD288,2024-04-15,2060,214.19,Credit Card,Mumbai,Delivered
ORD289,2024-03-01,3327,181.02,COD,Bangalore,Delivered
ORD290,2024-02-23,4420,140.47,Credit Card,Hyderabad,Cancelled
ORD291,2024-06-22,1301,258.93,Credit Card,Hyderabad,Delivered
ORD292,2024-02-08,5276,287.48,UPI,Bangalore,Delivered
ORD293,2024-01-02,1606,154.72,Credit Card,Mumbai,Delivered
ORD294,2024-06-22,4170,280.15,Credit Card,Delhi,Delivered
ORD295,2024-03-20,1699,179.17,UPI,Delhi,Delivered
ORD296,2024-01-28,2139,166.13,UPI,Mumbai,Delivered
ORD297,2024-03-21,1190,141.8,COD,Bangalore,Delivered
ORD298,2024-01-04,3300,70.69,UPI,Mumbai,Delivered
ORD299,2024-02-07,1980,11.08,Wallet,Delhi,Delayed
ORD300,2024-05-30,3975,80.04,Wallet,Mumbai,Delivered
ORD301,2024-02-10,2184,157.82,COD,Mumbai,Delivered
ORD302,2024-01-03,4327,120.19,Credit Card,Bangalore,Delayed
ORD303,2024-01-13,4394,140.06,COD,Hyderabad,Delayed
ORD304,2024-05-18,1127,294.39,UPI,Delhi,Delivered
ORD305,2024-04-11,3065,111.58,Credit Card,Delhi,Cancelled
ORD306,2024-04-25,2816,141.13,COD,Mumbai,Delivered
ORD307,2024-04-02,1569,48.72,COD,Delhi,Delivered
ORD308,2024-01-03,2895,23.91,Wallet,Delhi,Delivered
ORD309,2024-02-21,3733,234.87,COD,Hyderabad,Delivered
ORD310,2024-03-19,4863,175.5,Credit Card,Delhi,Delivered
ORD311,2024-02-06,5721,230.6,COD,Delhi,Delivered
ORD312,2024-06-16,5014,53.46,COD,Bangalore,Delivered
ORD313,2024-04-14,3901,175.83,UPI,Bangalore,Delayed
ORD314,2024-04-21,2686,83.56,COD,Bangalore,Delivered
ORD315,2024-04-26,4009,76.14,Credit Card,Bangalore,Delivered
ORD316,2024-01-30,1154,13.34,Wallet,Bangalore,Delivered
ORD317,2024-04-29,3537,47.8,Wallet,Hyderabad,Delivered
ORD318,2024-05-07,2409,99.69,Wallet,Delhi,Delayed
ORD319,2024-03-29,5057,43.89,Wallet,Mumbai,Delivered
ORD320,2024-01-31,1784,295.9,UPI,Hyderabad,Delivered
ORD321,2024-02-11,4175,99.5,Credit Card,Mumbai,Delivered
ORD322,2024-06-03,5341,47.79,UPI,Bangalore,Delivered
ORD323,2024-03-06,3806,67.73,Wallet,Delhi,Delivered
ORD324,2024-02-01,1537,180.43,UPI,Bangalore,Delivered
ORD325,2024-02-16,2841,28.57,COD,Hyderabad,Delivered
ORD326,2024-02-22,3455,260.11,Credit Card,Mumbai,Delayed
ORD327,2024-04-14,1524,288.83,COD,Delhi,Delivered
ORD328,2024-01-30,3950,81.56,UPI,Hyderabad,Cancelled
ORD329,2024-01-03,5131,140.53,COD,Hyderabad,Delivered
ORD330,2024-02-01,5780,16.42,UPI,Delhi,Delivered
ORD331,2024-02-04,5115,195.81,UPI,Delhi,Delivered
ORD332,2024-03-13,3368,130.04,Credit Card,Hyderabad,Delivered
ORD333,2024-01-21,4847,88.32,Credit Card,Mumbai,Delayed
ORD334,2024-01-18,5495,69.98,Credit Card,Mumbai,Delayed
ORD335,2024-01-29,3701,199.67,Wallet,Hyderabad,Delivered
ORD336,2024-05-30,1971,130.7,Credit Card,Hyderabad,Delivered
ORD337,2024-02-13,2166,62.1,COD,Bangalore,Delayed
ORD338,2024-06-14,5929,209.84,Credit Card,Bangalore,Delivered
ORD339,2024-04-14,3774,173.87,Credit Card,Mumbai,Delayed
ORD340,2024-04-21,2982,259.01,Credit Card,Bangalore,Delayed
ORD341,2024-06-03,1853,44.07,UPI,Mumbai,Delivered
ORD342,2024-01-16,5146,237.84,UPI,Delhi,Delivered
ORD343,2024-06-26,4736,205.32,Credit Card,Bangalore,Delivered
ORD344,2024-05-06,4769,43.35,UPI,Mumbai,Delivered
ORD345,2024-03-12,1574,211.5,UPI,Mumbai,Delivered
ORD346,2024-05-14,4261,138.05,Wallet,Hyderabad,Delivered
ORD347,2024-03-04,2148,284.05,COD,Mumbai,Delivered
ORD348,2024-04-25,2715,51.07,UPI,Bangalore,Delayed
ORD349,2024-06-12,5777,196.42,COD,Hyderabad,Delivered
ORD350,2024-03-17,5933,120.77,UPI,Hyderabad,Delivered
ORD351,2024-02-13,4854,287.48,Credit Card,Bangalore,Delivered
ORD352,2024-06-07,3491,105.69,UPI,Delhi,Delivered
ORD353,2024-04-27,3660,289.03,UPI,Bangalore,Delivered
ORD354,2024-06-16,4124,271.43,COD,Bangalore,Delivered
ORD355,2024-03-06,4051,88.41,Credit Card,Hyderabad,Delivered
ORD356,2024-02-22,1004,243.03,Wallet,Bangalore,Delivered
ORD357,2024-05-13,5869,298.73,COD,Delhi,Delayed
ORD358,2024-01-09,1876,83.27,Credit Card,Delhi,Delivered
ORD359,2024-06-07,1991,136.67,Credit Card,Delhi,Delivered
ORD360,2024-03-06,5142,160.85,COD,Hyderabad,Cancelled
ORD361,2024-05-30,5364,95.53,UPI,Bangalore,Delayed
ORD362,2024-05-17,5465,14.43,Credit Card,Mumbai,Delivered
ORD363,2024-02-08,1635,73.84,Wallet,Bangalore,Delivered
ORD364,2024-03-29,2693,91.76,UPI,Delhi,Delivered
ORD365,2024-01-19,2682,138.64,COD,Bangalore,Delivered
ORD366,2024-04-02,5752,59.62,COD,Hyderabad,Delayed
ORD367,2024-06-08,1119,263.24,COD,Bangalore,Delivered
ORD368,2024-06-01,1830,214.42,COD,Hyderabad,Delivered
ORD369,2024-04-20,4675,34.71,Wallet,Mumbai,Delivered
ORD370,2024-02-14,2369,198.53,Wallet,Mumbai,Delivered
ORD371,2024-03-31,1740,199.56,Credit Card,Hyderabad,Delivered
ORD372,2024-01-09,1116,287.3,Wallet,Bangalore,Delivered
ORD373,2024-03-04,3838,10.88,COD,Delhi,Delivered
ORD374,2024-04-11,2150,81.9,Wallet,Hyderabad,Cancelled
ORD375,2024-02-22,2931,279.06,UPI,Bangalore,Delivered
ORD376,2024-02-16,2012,280.32,UPI,Bangalore,Delivered
ORD377,2024-04-13,2664,218.97,Credit Card,Bangalore,Delayed
ORD378,2024-04-21,2081,232.07,COD,Delhi,Delivered
ORD379,2024-04-07,5729,36.53,Wallet,Delhi,Delivered
ORD380,2024-03-11,1512,159.02,Credit Card,Delhi,Delivered
ORD381,2024-03-20,3849,77.16,Credit Card,Hyderabad,Delivered
ORD382,2024-02-23,1559,62.55,Wallet,Hyderabad,Delivered
ORD383,2024-04-11,4672,244.99,Credit Card,Delhi,Delayed
ORD384,2024-05-02,5583,49.16,COD,Hyderabad,Delivered
ORD385,2024-05-05,5992,145.91,Wallet,Delhi,Delivered
ORD386,2024-04-09,4343,282.19,UPI,Hyderabad,Delivered
ORD387,2024-03-20,5070,63.89,UPI,Bangalore,Delivered
ORD388,2024-04-04,5799,293.62,Wallet,Delhi,Delivered
ORD389,2024-06-20,2470,298.34,Credit Card,Hyderabad,Delivered
ORD390,2024-01-22,1580,171.13,Credit Card,Bangalore,Delivered
ORD391,2024-05-29,3294,59.34,UPI,Bangalore,Delivered
ORD392,2024-04-24,4147,101.67,UPI,Hyderabad,Delivered
ORD393,2024-01-07,5249,133.1,COD,Bangalore,Delivered
ORD394,2024-05-13,2679,99.7,Credit Card,Mumbai,Delivered
ORD395,2024-01-01,4506,91.38,COD,Delhi,Delivered
ORD396,2024-06-26,3744,291.95,UPI,Delhi,Delayed
ORD397,2024-03-19,4356,54.48,UPI,Bangalore,Delivered
ORD398,2024-06-15,5045,222.67,UPI,Hyderabad,Delivered
ORD399,2024-02-12,2243,10.12,UPI,Mumbai,Delivered
ORD400,2024-04-06,4118,182.89,COD,Hyderabad,Delivered
ORD401,2024-02-29,3141,275.62,UPI,Delhi,Delivered
ORD402,2024-03-27,4059,93.5,Wallet,Bangalore,Delayed
ORD403,2024-01-21,5548,63.8,Credit Card,Mumbai,Delivered
