ticket_id,order_id,issue_type,created_time,resolved_time,status
TKT139,ORD3680,Late Delivery,2024-04-23,2024-04-24 02:00:00,Closed
TKT140,ORD3032,Damaged Item,2024-05-31,2024-06-02 00:00:00,Closed
TKT141,ORD5406,Wrong Item,2024-02-09,2024-02-11 04:00:00,Closed
TKT142,ORD4092,Late Delivery,2024-04-21,2024-04-23 05:00:00,Closed
TKT143,ORD1677,Damaged Item,2024-02-14,2024-02-15 11:00:00,Closed
TKT144,ORD9598,Damaged Item,2024-01-15,2024-01-17 23:00:00,Closed
TKT145,ORD9672,Damaged Item,2024-01-26,2024-01-27 03:00:00,Closed
TKT146,ORD1381,Damaged Item,2024-03-16,2024-03-17 15:00:00,Closed
TKT147,ORD8862,Damaged Item,2024-02-01,2024-02-01 06:00:00,Closed
TKT148,ORD6047,Late Delivery,2024-02-22,2024-02-22 07:00:00,Closed
TKT149,ORD726,Refund,2024-06-26,2024-06-28 15:00:00,Closed
TKT150,ORD2761,Late Delivery,2024-01-04,2024-01-05 14:00:00,Closed
TKT151,ORD2005,Wrong Item,2024-03-09,2024-03-10 22:00:00,Closed
TKT152,ORD609,Damaged Item,2024-06-16,2024-06-17 12:00:00,Closed
TKT153,ORD8613,Wrong Item,2024-01-18,2024-01-20 17:00:00,Closed
TKT154,ORD7552,Refund,2024-04-05,2024-04-05 03:00:00,Closed
TKT155,ORD1156,Damaged Item,2024-01-26,2024-01-28 22:00:00,Closed
TKT156,ORD6712,Wrong Item,2024-02-21,2024-02-23 14:00:00,Closed
TKT157,ORD7909,Damaged Item,2024-02-17,2024-02-19 19:00:00,Closed
TKT158,ORD2745,Wrong Item,2024-01-01,2024-01-01 12:00:00,Closed
TKT159,ORD4632,Damaged Item,2024-06-10,2024-06-11 18:00:00,Closed
TKT160,ORD2884,Refund,2024-05-13,2024-05-15 20:00:00,Closed
TKT161,ORD8498,Late Delivery,2024-04-29,2024-05-01 20:00:00,Closed
TKT162,ORD2343,Refund,2024-02-01,2024-02-02 20:00:00,Closed
TKT163,ORD4859,Wrong Item,2024-03-01,2024-03-01 06:00:00,Closed
TKT164,ORD2204,Damaged Item,2024-03-04,2024-03-07 00:00:00,Closed
TKT165,ORD532,Late Delivery,2024-03-04,2024-03-07 00:00:00,Closed
TKT166,ORD1509,Refund,2024-04-24,2024-04-26 18:00:00,Closed
TKT167,ORD2631,Wrong Item,2024-05-31,2024-06-02 20:00:00,Closed
TKT168,ORD2925,Damaged Item,2024-06-01,2024-06-03 14:00:00,Closed
TKT169,ORD8260,Late Delivery,2024-05-10,2024-05-11 09:00:00,Closed
TKT170,ORD2333,Damaged Item,2024-02-18,2024-02-20 07:00:00,Closed
TKT171,ORD1856,Wrong Item,2024-06-26,2024-06-26 22:00:00,Closed
TKT172,ORD6300,Late Delivery,2024-01-01,2024-01-03 06:00:00,Closed
TKT173,ORD3906,Damaged Item,2024-01-22,2024-01-23 05:00:00,Closed
TKT174,ORD9830,Damaged Item,2024-04-18,2024-04-18 09:00:00,Closed
TKT175,ORD2480,Damaged Item,2024-04-25,2024-04-26 22:00:00,Closed
TKT176,ORD4216,Wrong Item,2024-03-17,2024-03-19 19:00:00,Closed
TKT177,ORD1230,Damaged Item,2024-06-18,2024-06-18 13:00:00,Closed
TKT178,ORD1353,Refund,2024-02-20,2024-02-20 23:00:00,Closed
TKT179,ORD8237,Damaged Item,2024-02-21,2024-02-21 22:00:00,Closed
TKT180,ORD4636,Refund,2024-04-25,2024-04-26 02:00:00,Closed
TKT181,ORD9427,Wrong Item,2024-02-04,2024-02-06 03:00:00,Closed
TKT182,ORD7097,Damaged Item,2024-02-13,2024-02-15 11:00:00,Closed
TKT183,ORD452,Refund,2024-05-06,2024-05-07 12:00:00,Closed
TKT184,ORD1660,Refund,2024-05-31,2024-06-01 11:00:00,Closed
TKT185,ORD8362,Refund,2024-01-08,2024-01-10 04:00:00,Closed
TKT186,ORD4534,Refund,2024-03-31,2024-04-02 20:00:00,Closed
TKT187,ORD9392,Refund,2024-06-26,2024-06-26 04:00:00,Closed
TKT188,ORD9025,Refund,2024-06-18,2024-06-19 06:00:00,Closed
TKT189,ORD1189,Damaged Item,2024-02-25,2024-02-25 23:00:00,Closed
TKT190,ORD8242,Late Delivery,2024-06-19,2024-06-20 23:00:00,Closed
TKT191,ORD4831,Refund,2024-05-06,2024-05-06 13:00:00,Closed
TKT192,ORD6837,Refund,2024-05-19,2024-05-20 12:00:00,Closed
TKT193,ORD2555,Wrong Item,2024-04-06,2024-04-07 07:00:00,Closed
TKT194,ORD8457,Late Delivery,2024-05-25,2024-05-27 16:00:00,Closed
TKT195,ORD7793,Damaged Item,2024-05-14,2024-05-16 06:00:00,Closed
TKT196,ORD4605,Wrong Item,2024-06-07,2024-06-09 20:00:00,Closed
TKT197,ORD4431,Wrong Item,2024-06-21,2024-06-23 14:00:00,Closed
TKT198,ORD286,Wrong Item,2024-06-20,2024-06-20 17:00:00,Closed
TKT199,ORD4669,Refund,2024-06-08,2024-06-09 06:00:00,Closed
TKT200,ORD6371,Damaged Item,2024-02-10,2024-02-11 04:00:00,Closed
TKT201,ORD5863,Wrong Item,2024-04-04,2024-04-04 06:00:00,Closed
TKT202,ORD2687,Wrong Item,2024-05-05,2024-05-06 10:00:00,Closed
TKT203,ORD7498,Late Delivery,2024-04-17,2024-04-17 06:00:00,Closed
TKT204,ORD2769,Damaged Item,2024-04-15,2024-04-17 11:00:00,Closed
TKT205,ORD1865,Wrong Item,2024-01-18,2024-01-19 09:00:00,Closed
TKT206,ORD4553,Damaged Item,2024-03-24,2024-03-25 05:00:00,Closed
TKT207,ORD6948,Late Delivery,2024-01-19,2024-01-21 06:00:00,Closed
TKT208,ORD7148,Refund,2024-02-05,2024-02-07 11:00:00,Closed
TKT209,ORD3224,Damaged Item,2024-04-20,2024-04-22 13:00:00,Closed
TKT210,ORD5464,Late Delivery,2024-03-04,2024-03-05 06:00:00,Closed
TKT211,ORD2811,Damaged Item,2024-01-19,2024-01-21 15:00:00,Closed
TKT212,ORD4950,Refund,2024-04-20,2024-04-20 10:00:00,Closed
TKT213,ORD2991,Damaged Item,2024-03-14,2024-03-15 20:00:00,Closed
TKT214,ORD9704,Late Delivery,2024-06-06,2024-06-08 15:00:00,Closed
TKT215,ORD5470,Wrong Item,2024-01-13,2024-01-15 18:00:00,Closed
TKT216,ORD21,Refund,2024-03-17,2024-03-18 00:00:00,Closed
TKT217,ORD1643,Late Delivery,2024-06-28,2024-06-28 16:00:00,Closed
TKT218,ORD6243,Wrong Item,2024-02-03,2024-02-05 05:00:00,Closed
TKT219,ORD7770,Wrong Item,2024-06-18,2024-06-20 12:00:00,Closed
TKT220,ORD7575,Late Delivery,2024-02-01,2024-02-03 06:00:00,Closed
TKT221,ORD8299,Late Delivery,2024-02-06,2024-02-07 18:00:00,Closed
TKT222,ORD850,Wrong Item,2024-04-11,2024-04-13 00:00:00,Closed
TKT223,ORD8689,Damaged Item,2024-02-23,2024-02-23 04:00:00,Closed
TKT224,ORD7995,Late Delivery,2024-01-20,2024-01-22 10:00:00,Closed
TKT225,ORD2820,Wrong Item,2024-01-07,2024-01-08 13:00:00,Closed
TKT226,ORD387,Late Delivery,2024-05-17,2024-05-19 16:00:00,Closed
TKT227,ORD543,Refund,2024-06-21,2024-06-22 23:00:00,Closed
TKT228,ORD691,Late Delivery,2024-02-10,2024-02-13 00:00:00,Closed
TKT229,ORD4863,Refund,2024-03-17,2024-03-17 16:00:00,Closed
TKT230,ORD9776,Wrong Item,2024-02-11,2024-02-11 18:00:00,Closed
TKT231,ORD3990,Wrong Item,2024-02-18,2024-02-20 17:00:00,Closed
TKT232,ORD229,Refund,2024-03-23,2024-03-24 17:00:00,Closed
TKT233,ORD1503,Damaged Item,2024-02-17,2024-02-18 21:00:00,Closed
TKT234,ORD3826,Damaged Item,2024-06-13,2024-06-14 16:00:00,Closed
TKT235,ORD6879,Damaged Item,2024-03-07,2024-03-08 07:00:00,Closed
TKT236,ORD172,Refund,2024-05-15,2024-05-16 15:00:00,Closed
TKT237,ORD6986,Refund,2024-01-12,2024-01-13 13:00:00,Closed
TKT238,ORD7341,Refund,2024-03-26,2024-03-28 07:00:00,Closed
TKT239,ORD6950,Refund,2024-04-04,2024-04-06 06:00:00,Closed
TKT240,ORD6833,Wrong Item,2024-01-28,2024-01-29 20:00:00,Closed
TKT241,ORD6180,Wrong Item,2024-06-25,2024-06-26 00:00:00,Closed
TKT242,ORD662,Damaged Item,2024-01-26,2024-01-26 02:00:00,Closed
TKT243,ORD1313,Refund,2024-05-15,2024-05-16 19:00:00,Closed
TKT244,ORD8101,Wrong Item,2024-03-05,2024-03-05 04:00:00,Closed
TKT245,ORD4429,Damaged Item,2024-04-07,2024-04-08 20:00:00,Closed
TKT246,ORD4997,Wrong Item,2024-02-07,2024-02-07 02:00:00,Closed
TKT247,ORD8338,Wrong Item,2024-01-06,2024-01-08 23:00:00,Closed
TKT248,ORD5051,Damaged Item,2024-04-22,2024-04-23 13:00:00,Closed
TKT249,ORD511,Late Delivery,2024-06-28,2024-06-29 08:00:00,Closed
TKT250,ORD7243,Late Delivery,2024-06-15,2024-06-16 03:00:00,Closed
TKT251,ORD7880,Refund,2024-02-13,2024-02-15 14:00:00,Closed
TKT252,ORD2808,Refund,2024-06-15,2024-06-17 23:00:00,Closed
TKT253,ORD7814,Late Delivery,2024-02-03,2024-02-06 00:00:00,Closed
TKT254,ORD2196,Refund,2024-01-05,2024-01-07 12:00:00,Closed
TKT255,ORD2476,Refund,2024-05-22,2024-05-24 01:00:00,Closed
TKT256,ORD8110,Late Delivery,2024-06-03,2024-06-03 11:00:00,Closed
TKT257,ORD3910,Damaged Item,2024-05-06,2024-05-07 15:00:00,Closed
TKT258,ORD1953,Wrong Item,2024-02-07,2024-02-09 05:00:00,Closed
TKT259,ORD1607,Wrong Item,2024-06-04,2024-06-04 03:00:00,Closed
TKT260,ORD1860,Refund,2024-05-21,2024-05-21 09:00:00,Closed
TKT261,ORD4278,Late Delivery,2024-04-18,2024-04-18 07:00:00,Closed
TKT262,ORD9964,Wrong Item,2024-06-25,2024-06-25 16:00:00,Closed
TKT263,ORD6663,Refund,2024-01-31,2024-01-31 05:00:00,Closed
TKT264,ORD1592,Refund,2024-03-15,2024-03-15 02:00:00,Closed
TKT265,ORD3241,Wrong Item,2024-02-12,2024-02-12 22:00:00,Closed
TKT266,ORD6462,Refund,2024-01-20,2024-01-21 11:00:00,Closed
TKT267,ORD746,Wrong Item,2024-02-12,2024-02-13 12:00:00,Closed
TKT268,ORD856,Damaged Item,2024-02-21,2024-02-23 15:00:00,Closed
TKT269,ORD7306,Late Delivery,2024-06-18,2024-06-19 15:00:00,Closed
TKT270,ORD1545,Damaged Item,2024-05-18,2024-05-20 16:00:00,Closed
TKT271,ORD4006,Wrong Item,2024-05-27,2024-05-27 02:00:00,Closed
TKT272,ORD2312,Wrong Item,2024-05-19,2024-05-19 09:00:00,Closed
TKT273,ORD1905,Refund,2024-03-04,2024-03-05 16:00:00,Closed
TKT274,ORD8068,Damaged Item,2024-01-05,2024-01-07 16:00:00,Closed
TKT275,ORD9650,Refund,2024-02-07,2024-02-09 08:00:00,Closed
TKT276,ORD9853,Damaged Item,2024-03-30,2024-03-31 02:00:00,Closed
TKT277,ORD9261,Refund,2024-03-21,2024-03-22 06:00:00,Closed
TKT278,ORD7000,Refund,2024-05-14,2024-05-16 07:00:00,Closed
TKT279,ORD6558,Refund,2024-01-02,2024-01-04 10:00:00,Closed
TKT280,ORD8366,Wrong Item,2024-05-11,2024-05-11 17:00:00,Closed
TKT281,ORD2889,Refund,2024-06-14,2024-06-14 20:00:00,Closed
TKT282,ORD9005,Damaged Item,2024-06-25,2024-06-25 16:00:00,Closed
TKT283,ORD9900,Refund,2024-05-16,2024-05-16 11:00:00,Closed
TKT284,ORD3425,Wrong Item,2024-01-24,2024-01-25 13:00:00,Closed
TKT285,ORD7804,Refund,2024-01-07,2024-01-08 21:00:00,Closed
TKT286,ORD7351,Damaged Item,2024-05-26,2024-05-27 23:00:00,Closed
TKT287,ORD8563,Late Delivery,2024-03-24,2024-03-25 16:00:00,Closed
TKT288,ORD7385,Late Delivery,2024-03-26,2024-03-27 02:00:00,Closed
TKT289,ORD1143,Damaged Item,2024-02-07,2024-02-08 17:00:00,Closed
TKT290,ORD9945,Wrong Item,2024-05-23,2024-05-24 00:00:00,Closed
TKT291,ORD3723,Wrong Item,2024-01-15,2024-01-16 05:00:00,Closed
TKT292,ORD7409,Late Delivery,2024-06-28,2024-06-30 17:00:00,Closed
TKT293,ORD2181,Wrong Item,2024-01-15,2024-01-16 10:00:00,Closed
TKT294,ORD8795,Refund,2024-01-01,2024-01-02 21:00:00,Closed
TKT295,ORD7425,Wrong Item,2024-03-22,2024-03-25 00:00:00,Closed
TKT296,ORD5784,Late Delivery,2024-04-14,2024-04-15 04:00:00,Closed
TKT297,ORD7911,Late Delivery,2024-06-18,2024-06-18 23:00:00,Closed
TKT298,ORD5802,Late Delivery,2024-03-15,2024-03-16 21:00:00,Closed
TKT299,ORD9225,Damaged Item,2024-05-25,2024-05-27 19:00:00,Closed
TKT300,ORD6545,Damaged Item,2024-01-22,2024-01-23 11:00:00,Closed
TKT301,ORD4842,Wrong Item,2024-02-13,2024-02-15 15:00:00,Closed
TKT302,ORD855,Late Delivery,2024-03-27,2024-03-27 02:00:00,Closed
TKT303,ORD3586,Late Delivery,2024-06-20,2024-06-21 19:00:00,Closed
TKT304,ORD2474,Wrong Item,2024-04-20,2024-04-22 13:00:00,Closed
TKT305,ORD5958,Refund,2024-03-19,2024-03-21 15:00:00,Closed
TKT306,ORD3013,Late Delivery,2024-02-25,2024-02-25 18:00:00,Closed
TKT307,ORD1148,Wrong Item,2024-05-01,2024-05-03 08:00:00,Closed
TKT308,ORD1655,Refund,2024-03-05,2024-03-05 07:00:00,Closed
TKT309,ORD4219,Damaged Item,2024-02-23,2024-02-25 22:00:00,Closed
TKT310,ORD4834,Wrong Item,2024-01-17,2024-01-17 05:00:00,Closed
TKT311,ORD8838,Late Delivery,2024-04-16,2024-04-18 16:00:00,Closed
TKT312,ORD340,Damaged Item,2024-04-28,2024-04-30 17:00:00,Closed
TKT313,ORD4763,Damaged Item,2024-06-20,2024-06-22 00:00:00,Closed
TKT314,ORD2781,Damaged Item,2024-06-19,2024-06-19 05:00:00,Closed
TKT315,ORD7895,Wrong Item,2024-05-31,2024-06-01 13:00:00,Closed
TKT316,ORD9547,Refund,2024-05-30,2024-06-01 20:00:00,Closed
TKT317,ORD3475,Refund,2024-05-07,2024-05-09 22:00:00,Closed
TKT318,ORD4939,Wrong Item,2024-03-05,2024-03-05 14:00:00,Closed
TKT319,ORD6657,Damaged Item,2024-03-12,2024-03-12 15:00:00,Closed
TKT320,ORD9698,Damaged Item,2024-01-16,2024-01-18 18:00:00,Closed
TKT321,ORD3406,Wrong Item,2024-06-29,2024-07-01 15:00:00,Closed
TKT322,ORD5547,Late Delivery,2024-03-31,2024-03-31 16:00:00,Closed
TKT323,ORD5885,Wrong Item,2024-05-16,2024-05-16 13:00:00,Closed
TKT324,ORD3487,Refund,2024-01-13,2024-01-14 16:00:00,Closed
TKT325,ORD7765,Damaged Item,2024-03-06,2024-03-07 22:00:00,Closed
TKT326,ORD2087,Refund,2024-05-27,2024-05-29 19:00:00,Closed
TKT327,ORD9075,Wrong Item,2024-03-16,2024-03-17 07:00:00,Closed
TKT328,ORD8152,Wrong Item,2024-01-20,2024-01-21 02:00:00,Closed
TKT329,ORD1399,Refund,2024-03-02,2024-03-04 03:00:00,Closed
TKT330,ORD4247,Refund,2024-03-09,2024-03-11 06:00:00,Closed
TKT331,ORD7570,Wrong Item,2024-03-23,2024-03-23 07:00:00,Closed
TKT332,ORD8206,Late Delivery,2024-03-15,2024-03-15 02:00:00,Closed
TKT333,ORD577,Wrong Item,2024-05-11,2024-05-13 06:00:00,Closed
TKT334,ORD1677,Late Delivery,2024-02-21,2024-02-22 08:00:00,Closed
TKT335,ORD9694,Damaged Item,2024-01-21,2024-01-23 17:00:00,Closed
TKT336,ORD4254,Late Delivery,2024-05-28,2024-05-28 05:00:00,Closed
TKT337,ORD9601,Damaged Item,2024-03-06,2024-03-08 16:00:00,Closed
TKT338,ORD9839,Refund,2024-05-20,2024-05-21 19:00:00,Closed
TKT339,ORD8044,Damaged Item,2024-06-13,2024-06-15 22:00:00,Closed
