order_id,pick_time,pack_time,ship_time,delivery_time,carrier
ORD16,2024-01-08 06:00:00,2024-01-08 08:00:00,2024-01-08 12:00:00,2024-01-09 12:00:00,Ecom Express
ORD17,2024-05-08 06:00:00,2024-05-08 10:00:00,2024-05-08 16:00:00,2024-05-11 16:00:00,Ecom Express
ORD18,2024-04-03 03:00:00,2024-04-03 07:00:00,2024-04-03 11:00:00,2024-04-04 11:00:00,BlueDart
ORD19,2024-05-03 05:00:00,2024-05-03 08:00:00,2024-05-03 13:00:00,2024-05-06 13:00:00,Ecom Express
ORD20,2024-05-23 03:00:00,2024-05-23 06:00:00,2024-05-23 09:00:00,2024-05-29 09:00:00,Ecom Express
ORD21,2024-03-27 01:00:00,2024-03-27 03:00:00,2024-03-27 09:00:00,2024-03-28 09:00:00,Ecom Express
ORD22,2024-05-19 03:00:00,2024-05-19 04:00:00,2024-05-19 14:00:00,2024-05-21 14:00:00,BlueDart
ORD23,2024-06-14 02:00:00,2024-06-14 05:00:00,2024-06-14 11:00:00,2024-06-15 11:00:00,BlueDart
ORD24,2024-03-11 04:00:00,2024-03-11 05:00:00,2024-03-11 07:00:00,2024-03-12 07:00:00,BlueDart
ORD25,2024-05-10 02:00:00,2024-05-10 06:00:00,2024-05-10 14:00:00,2024-05-12 14:00:00,BlueDart
ORD26,2024-03-26 05:00:00,2024-03-26 06:00:00,2024-03-26 12:00:00,2024-03-28 12:00:00,Ecom Express
ORD27,2024-04-10 02:00:00,2024-04-10 04:00:00,2024-04-10 11:00:00,2024-04-13 11:00:00,Delhivery
ORD28,2024-06-23 01:00:00,2024-06-23 03:00:00,2024-06-23 10:00:00,2024-06-25 10:00:00,BlueDart
ORD29,2024-05-23 02:00:00,2024-05-23 06:00:00,2024-05-23 10:00:00,2024-05-24 10:00:00,BlueDart
ORD30,2024-04-22 02:00:00,2024-04-22 04:00:00,2024-04-22 10:00:00,2024-04-25 10:00:00,Delhivery
ORD31,2024-04-21 05:00:00,2024-04-21 07:00:00,2024-04-21 10:00:00,2024-04-24 10:00:00,Ecom Express
ORD32,2024-05-04 02:00:00,2024-05-04 06:00:00,2024-05-04 10:00:00,2024-05-05 10:00:00,BlueDart
ORD33,2024-06-03 05:00:00,2024-06-03 06:00:00,2024-06-03 15:00:00,2024-06-06 15:00:00,Ecom Express
ORD34,2024-01-16 05:00:00,2024-01-16 09:00:00,2024-01-16 15:00:00,2024-01-17 15:00:00,Delhivery
ORD35,2024-01-26 04:00:00,2024-01-26 06:00:00,2024-01-26 11:00:00,2024-01-27 11:00:00,Delhivery
ORD36,2024-03-01 01:00:00,2024-03-01 02:00:00,2024-03-01 12:00:00,2024-03-04 12:00:00,Ecom Express
ORD37,2024-04-13 04:00:00,2024-04-13 08:00:00,2024-04-13 16:00:00,2024-04-19 16:00:00,Ecom Express
ORD38,2024-02-24 01:00:00,2024-02-24 03:00:00,2024-02-24 12:00:00,2024-02-27 12:00:00,BlueDart
ORD39,2024-05-15 04:00:00,2024-05-15 08:00:00,2024-05-15 11:00:00,2024-05-20 11:00:00,Delhivery
ORD40,2024-05-04 06:00:00,2024-05-04 10:00:00,2024-05-04 19:00:00,2024-05-07 19:00:00,BlueDart
ORD41,2024-04-07 04:00:00,2024-04-07 05:00:00,2024-04-07 08:00:00,2024-04-10 08:00:00,Delhivery
ORD42,2024-05-24 06:00:00,2024-05-24 07:00:00,2024-05-24 17:00:00,2024-05-25 17:00:00,Ecom Express
ORD43,2024-01-21 05:00:00,2024-01-21 07:00:00,2024-01-21 12:00:00,2024-01-24 12:00:00,Delhivery
ORD44,2024-02-29 04:00:00,2024-02-29 05:00:00,2024-02-29 15:00:00,2024-03-01 15:00:00,BlueDart
ORD45,2024-05-18 05:00:00,2024-05-18 08:00:00,2024-05-18 15:00:00,2024-05-21 15:00:00,BlueDart
ORD46,2024-02-09 06:00:00,2024-02-09 10:00:00,2024-02-09 19:00:00,2024-02-10 19:00:00,BlueDart
ORD47,2024-05-25 06:00:00,2024-05-25 08:00:00,2024-05-25 18:00:00,2024-05-27 18:00:00,Ecom Express
ORD48,2024-05-26 05:00:00,2024-05-26 07:00:00,2024-05-26 14:00:00,2024-05-28 14:00:00,Delhivery
ORD49,2024-01-01 03:00:00,2024-01-01 05:00:00,2024-01-01 11:00:00,2024-01-03 11:00:00,BlueDart
ORD50,2024-03-23 06:00:00,2024-03-23 10:00:00,2024-03-23 12:00:00,2024-03-26 12:00:00,BlueDart
ORD51,2024-06-07 02:00:00,2024-06-07 04:00:00,2024-06-07 13:00:00,2024-06-08 13:00:00,Ecom Express
ORD52,2024-02-26 03:00:00,2024-02-26 06:00:00,2024-02-26 12:00:00,2024-02-28 12:00:00,Delhivery
ORD53,2024-03-31 06:00:00,2024-03-31 10:00:00,2024-03-31 20:00:00,2024-04-01 20:00:00,BlueDart
ORD54,2024-05-30 01:00:00,2024-05-30 04:00:00,2024-05-30 08:00:00,2024-06-06 08:00:00,BlueDart
ORD55,2024-03-08 02:00:00,2024-03-08 03:00:00,2024-03-08 06:00:00,2024-03-09 06:00:00,Ecom Express
ORD56,2024-03-28 02:00:00,2024-03-28 06:00:00,2024-03-28 16:00:00,2024-03-30 16:00:00,Delhivery
ORD57,2024-06-03 01:00:00,2024-06-03 02:00:00,2024-06-03 12:00:00,2024-06-07 12:00:00,Delhivery
ORD58,2024-03-31 05:00:00,2024-03-31 07:00:00,2024-03-31 11:00:00,2024-04-03 11:00:00,Delhivery
ORD59,2024-02-17 04:00:00,2024-02-17 05:00:00,2024-02-17 12:00:00,2024-02-18 12:00:00,Delhivery
ORD60,2024-02-26 04:00:00,2024-02-26 07:00:00,2024-02-26 14:00:00,2024-02-27 14:00:00,BlueDart
ORD61,2024-06-16 04:00:00,2024-06-16 05:00:00,2024-06-16 07:00:00,2024-06-22 07:00:00,BlueDart
ORD62,2024-05-01 01:00:00,2024-05-01 03:00:00,2024-05-01 06:00:00,2024-05-03 06:00:00,Delhivery
ORD63,2024-02-23 05:00:00,2024-02-23 09:00:00,2024-02-23 16:00:00,2024-02-24 16:00:00,Ecom Express
ORD64,2024-02-28 05:00:00,2024-02-28 07:00:00,2024-02-28 09:00:00,2024-03-02 09:00:00,BlueDart
ORD65,2024-03-04 02:00:00,2024-03-04 06:00:00,2024-03-04 14:00:00,2024-03-10 14:00:00,BlueDart
ORD66,2024-04-05 02:00:00,2024-04-05 04:00:00,2024-04-05 14:00:00,2024-04-06 14:00:00,Ecom Express
ORD67,2024-06-16 02:00:00,2024-06-16 05:00:00,2024-06-16 09:00:00,2024-06-19 09:00:00,Ecom Express
ORD68,2024-01-05 04:00:00,2024-01-05 07:00:00,2024-01-05 12:00:00,2024-01-08 12:00:00,Delhivery
ORD69,2024-04-22 05:00:00,2024-04-22 09:00:00,2024-04-22 19:00:00,2024-04-26 19:00:00,BlueDart
ORD70,2024-04-09 02:00:00,2024-04-09 06:00:00,2024-04-09 10:00:00,2024-04-10 10:00:00,Ecom Express
ORD71,2024-04-22 03:00:00,2024-04-22 05:00:00,2024-04-22 15:00:00,2024-04-23 15:00:00,Ecom Express
ORD72,2024-04-27 03:00:00,2024-04-27 07:00:00,2024-04-27 10:00:00,2024-04-28 10:00:00,Delhivery
ORD73,2024-01-27 06:00:00,2024-01-27 10:00:00,2024-01-27 14:00:00,2024-01-29 14:00:00,Ecom Express
ORD74,2024-02-06 01:00:00,2024-02-06 03:00:00,2024-02-06 06:00:00,2024-02-11 06:00:00,BlueDart
ORD75,2024-05-12 05:00:00,2024-05-12 08:00:00,2024-05-12 14:00:00,2024-05-18 14:00:00,Ecom Express
ORD76,2024-01-12 05:00:00,2024-01-12 08:00:00,2024-01-12 17:00:00,2024-01-14 17:00:00,BlueDart
ORD77,2024-02-08 02:00:00,2024-02-08 04:00:00,2024-02-08 09:00:00,2024-02-10 09:00:00,Ecom Express
ORD78,2024-03-16 05:00:00,2024-03-16 08:00:00,2024-03-16 14:00:00,2024-03-18 14:00:00,BlueDart
ORD79,2024-01-13 02:00:00,2024-01-13 04:00:00,2024-01-13 07:00:00,2024-01-17 07:00:00,Ecom Express
ORD80,2024-02-20 05:00:00,2024-02-20 07:00:00,2024-02-20 17:00:00,2024-02-21 17:00:00,Delhivery
ORD81,2024-06-05 01:00:00,2024-06-05 02:00:00,2024-06-05 07:00:00,2024-06-08 07:00:00,Delhivery
ORD82,2024-01-30 03:00:00,2024-01-30 06:00:00,2024-01-30 10:00:00,2024-01-31 10:00:00,Delhivery
ORD83,2024-01-09 04:00:00,2024-01-09 08:00:00,2024-01-09 14:00:00,2024-01-12 14:00:00,BlueDart
ORD84,2024-01-13 01:00:00,2024-01-13 04:00:00,2024-01-13 06:00:00,2024-01-15 06:00:00,BlueDart
ORD85,2024-03-16 02:00:00,2024-03-16 06:00:00,2024-03-16 10:00:00,2024-03-18 10:00:00,Ecom Express
ORD86,2024-01-27 01:00:00,2024-01-27 03:00:00,2024-01-27 06:00:00,2024-01-28 06:00:00,BlueDart
ORD87,2024-06-06 06:00:00,2024-06-06 08:00:00,2024-06-06 18:00:00,2024-06-08 18:00:00,Delhivery
ORD88,2024-04-14 05:00:00,2024-04-14 09:00:00,2024-04-14 13:00:00,2024-04-15 13:00:00,Ecom Express
ORD89,2024-06-09 03:00:00,2024-06-09 04:00:00,2024-06-09 13:00:00,2024-06-12 13:00:00,Ecom Express
ORD90,2024-05-11 06:00:00,2024-05-11 09:00:00,2024-05-11 13:00:00,2024-05-13 13:00:00,BlueDart
ORD91,2024-01-19 05:00:00,2024-01-19 06:00:00,2024-01-19 15:00:00,2024-01-22 15:00:00,BlueDart
ORD92,2024-01-30 03:00:00,2024-01-30 04:00:00,2024-01-30 09:00:00,2024-02-04 09:00:00,Ecom Express
ORD93,2024-04-21 06:00:00,2024-04-21 09:00:00,2024-04-21 12:00:00,2024-04-24 12:00:00,Delhivery
ORD94,2024-02-03 05:00:00,2024-02-03 07:00:00,2024-02-03 11:00:00,2024-02-04 11:00:00,BlueDart
ORD95,2024-06-18 02:00:00,2024-06-18 03:00:00,2024-06-18 10:00:00,2024-06-21 10:00:00,Ecom Express
ORD96,2024-04-28 01:00:00,2024-04-28 02:00:00,2024-04-28 10:00:00,2024-05-03 10:00:00,Ecom Express
ORD97,2024-02-06 01:00:00,2024-02-06 04:00:00,2024-02-06 08:00:00,2024-02-09 08:00:00,Ecom Express
ORD98,2024-04-01 04:00:00,2024-04-01 06:00:00,2024-04-01 08:00:00,2024-04-07 08:00:00,BlueDart
ORD99,2024-04-13 04:00:00,2024-04-13 05:00:00,2024-04-13 15:00:00,2024-04-16 15:00:00,BlueDart
ORD100,2024-01-13 05:00:00,2024-01-13 08:00:00,2024-01-13 10:00:00,2024-01-14 10:00:00,Ecom Express
ORD101,2024-06-10 06:00:00,2024-06-10 09:00:00,2024-06-10 11:00:00,2024-06-13 11:00:00,Delhivery
ORD102,2024-06-05 03:00:00,2024-06-05 07:00:00,2024-06-05 09:00:00,2024-06-07 09:00:00,Delhivery
ORD103,2024-02-10 01:00:00,2024-02-10 02:00:00,2024-02-10 06:00:00,2024-02-12 06:00:00,Delhivery
ORD104,2024-01-26 03:00:00,2024-01-26 05:00:00,2024-01-26 11:00:00,2024-01-27 11:00:00,Ecom Express
ORD105,2024-05-02 02:00:00,2024-05-02 04:00:00,2024-05-02 10:00:00,2024-05-05 10:00:00,BlueDart
ORD106,2024-03-14 04:00:00,2024-03-14 05:00:00,2024-03-14 08:00:00,2024-03-16 08:00:00,Delhivery
ORD107,2024-06-21 04:00:00,2024-06-21 06:00:00,2024-06-21 11:00:00,2024-06-22 11:00:00,Ecom Express
ORD108,2024-05-31 02:00:00,2024-05-31 04:00:00,2024-05-31 07:00:00,2024-06-03 07:00:00,Delhivery
ORD109,2024-06-06 04:00:00,2024-06-06 08:00:00,2024-06-06 18:00:00,2024-06-08 18:00:00,Delhivery
ORD110,2024-04-27 06:00:00,2024-04-27 10:00:00,2024-04-27 13:00:00,2024-04-28 13:00:00,Delhivery
ORD111,2024-03-27 06:00:00,2024-03-27 07:00:00,2024-03-27 10:00:00,2024-03-29 10:00:00,Delhivery
ORD112,2024-05-16 01:00:00,2024-05-16 04:00:00,2024-05-16 14:00:00,2024-05-18 14:00:00,Ecom Express
ORD113,2024-06-16 02:00:00,2024-06-16 06:00:00,2024-06-16 14:00:00,2024-06-18 14:00:00,BlueDart
ORD114,2024-03-14 04:00:00,2024-03-14 07:00:00,2024-03-14 11:00:00,2024-03-15 11:00:00,Delhivery
ORD115,2024-03-11 04:00:00,2024-03-11 05:00:00,2024-03-11 11:00:00,2024-03-13 11:00:00,Delhivery
ORD116,2024-05-01 05:00:00,2024-05-01 07:00:00,2024-05-01 15:00:00,2024-05-04 15:00:00,Ecom Express
ORD117,2024-06-26 01:00:00,2024-06-26 04:00:00,2024-06-26 06:00:00,2024-06-28 06:00:00,Ecom Express
ORD118,2024-05-07 05:00:00,2024-05-07 06:00:00,2024-05-07 13:00:00,2024-05-10 13:00:00,Ecom Express
ORD119,2024-03-13 02:00:00,2024-03-13 04:00:00,2024-03-13 11:00:00,2024-03-14 11:00:00,Ecom Express
ORD120,2024-04-11 03:00:00,2024-04-11 04:00:00,2024-04-11 10:00:00,2024-04-14 10:00:00,Delhivery
ORD121,2024-01-01 02:00:00,2024-01-01 05:00:00,2024-01-01 13:00:00,2024-01-02 13:00:00,Delhivery
ORD122,2024-01-31 04:00:00,2024-01-31 06:00:00,2024-01-31 12:00:00,2024-02-01 12:00:00,Delhivery
ORD123,2024-06-14 03:00:00,2024-06-14 05:00:00,2024-06-14 09:00:00,2024-06-15 09:00:00,BlueDart
ORD124,2024-05-04 06:00:00,2024-05-04 09:00:00,2024-05-04 14:00:00,2024-05-06 14:00:00,Delhivery
ORD125,2024-03-06 02:00:00,2024-03-06 04:00:00,2024-03-06 13:00:00,2024-03-09 13:00:00,BlueDart
ORD126,2024-01-28 01:00:00,2024-01-28 05:00:00,2024-01-28 10:00:00,2024-01-30 10:00:00,Ecom Express
ORD127,2024-04-11 01:00:00,2024-04-11 03:00:00,2024-04-11 10:00:00,2024-04-15 10:00:00,BlueDart
ORD128,2024-02-29 04:00:00,2024-02-29 08:00:00,2024-02-29 17:00:00,2024-03-02 17:00:00,BlueDart
ORD129,2024-05-02 03:00:00,2024-05-02 05:00:00,2024-05-02 10:00:00,2024-05-04 10:00:00,BlueDart
ORD130,2024-02-06 06:00:00,2024-02-06 09:00:00,2024-02-06 14:00:00,2024-02-08 14:00:00,BlueDart
ORD131,2024-01-07 01:00:00,2024-01-07 03:00:00,2024-01-07 08:00:00,2024-01-12 08:00:00,BlueDart
ORD132,2024-01-12 01:00:00,2024-01-12 05:00:00,2024-01-12 07:00:00,2024-01-13 07:00:00,BlueDart
ORD133,2024-03-19 03:00:00,2024-03-19 06:00:00,2024-03-19 16:00:00,2024-03-24 16:00:00,BlueDart
ORD134,2024-02-15 01:00:00,2024-02-15 05:00:00,2024-02-15 07:00:00,2024-02-16 07:00:00,BlueDart
ORD135,2024-06-01 06:00:00,2024-06-01 07:00:00,2024-06-01 17:00:00,2024-06-03 17:00:00,BlueDart
ORD136,2024-06-23 02:00:00,2024-06-23 04:00:00,2024-06-23 12:00:00,2024-06-26 12:00:00,Delhivery
ORD137,2024-05-11 04:00:00,2024-05-11 05:00:00,2024-05-11 13:00:00,2024-05-12 13:00:00,Delhivery
ORD138,2024-02-10 06:00:00,2024-02-10 08:00:00,2024-02-10 14:00:00,2024-02-13 14:00:00,Ecom Express
ORD139,2024-04-21 05:00:00,2024-04-21 08:00:00,2024-04-21 17:00:00,2024-04-22 17:00:00,Delhivery
ORD140,2024-06-16 03:00:00,2024-06-16 05:00:00,2024-06-16 08:00:00,2024-06-19 08:00:00,Ecom Express
ORD141,2024-02-11 01:00:00,2024-02-11 03:00:00,2024-02-11 09:00:00,2024-02-13 09:00:00,Delhivery
ORD142,2024-04-17 03:00:00,2024-04-17 04:00:00,2024-04-17 11:00:00,2024-04-18 11:00:00,Ecom Express
ORD143,2024-06-19 05:00:00,2024-06-19 06:00:00,2024-06-19 10:00:00,2024-06-22 10:00:00,Ecom Express
ORD144,2024-05-30 03:00:00,2024-05-30 05:00:00,2024-05-30 11:00:00,2024-05-31 11:00:00,Delhivery
ORD145,2024-04-16 05:00:00,2024-04-16 06:00:00,2024-04-16 08:00:00,2024-04-17 08:00:00,BlueDart
ORD146,2024-01-20 02:00:00,2024-01-20 06:00:00,2024-01-20 16:00:00,2024-01-22 16:00:00,BlueDart
ORD147,2024-02-01 03:00:00,2024-02-01 05:00:00,2024-02-01 15:00:00,2024-02-04 15:00:00,BlueDart
ORD148,2024-05-25 02:00:00,2024-05-25 03:00:00,2024-05-25 06:00:00,2024-05-28 06:00:00,BlueDart
ORD149,2024-02-16 04:00:00,2024-02-16 06:00:00,2024-02-16 11:00:00,2024-02-18 11:00:00,BlueDart
ORD150,2024-01-10 04:00:00,2024-01-10 06:00:00,2024-01-10 15:00:00,2024-01-12 15:00:00,BlueDart
ORD151,2024-04-20 01:00:00,2024-04-20 04:00:00,2024-04-20 09:00:00,2024-04-21 09:00:00,Delhivery
ORD152,2024-05-23 02:00:00,2024-05-23 04:00:00,2024-05-23 08:00:00,2024-05-25 08:00:00,Ecom Express
ORD153,2024-03-15 03:00:00,2024-03-15 06:00:00,2024-03-15 09:00:00,2024-03-17 09:00:00,BlueDart
ORD154,2024-03-09 03:00:00,2024-03-09 07:00:00,2024-03-09 17:00:00,2024-03-12 17:00:00,Delhivery
ORD155,2024-06-07 03:00:00,2024-06-07 06:00:00,2024-06-07 12:00:00,2024-06-11 12:00:00,Delhivery
ORD156,2024-01-14 01:00:00,2024-01-14 04:00:00,2024-01-14 06:00:00,2024-01-15 06:00:00,BlueDart
ORD157,2024-02-17 03:00:00,2024-02-17 07:00:00,2024-02-17 10:00:00,2024-02-24 10:00:00,Ecom Express
ORD158,2024-03-19 02:00:00,2024-03-19 04:00:00,2024-03-19 09:00:00,2024-03-21 09:00:00,Delhivery
ORD159,2024-03-12 06:00:00,2024-03-12 10:00:00,2024-03-12 19:00:00,2024-03-13 19:00:00,Delhivery
ORD160,2024-05-13 06:00:00,2024-05-13 07:00:00,2024-05-13 16:00:00,2024-05-14 16:00:00,Ecom Express
ORD161,2024-04-23 06:00:00,2024-04-23 08:00:00,2024-04-23 18:00:00,2024-04-24 18:00:00,Ecom Express
ORD162,2024-02-10 05:00:00,2024-02-10 07:00:00,2024-02-10 09:00:00,2024-02-14 09:00:00,BlueDart
ORD163,2024-06-21 04:00:00,2024-06-21 08:00:00,2024-06-21 15:00:00,2024-06-22 15:00:00,Delhivery
ORD164,2024-03-10 03:00:00,2024-03-10 06:00:00,2024-03-10 08:00:00,2024-03-13 08:00:00,BlueDart
ORD165,2024-04-01 04:00:00,2024-04-01 05:00:00,2024-04-01 15:00:00,2024-04-03 15:00:00,BlueDart
ORD166,2024-01-01 04:00:00,2024-01-01 08:00:00,2024-01-01 18:00:00,2024-01-02 18:00:00,Ecom Express
ORD167,2024-01-28 05:00:00,2024-01-28 06:00:00,2024-01-28 15:00:00,2024-01-30 15:00:00,Delhivery
ORD168,2024-06-07 03:00:00,2024-06-07 06:00:00,2024-06-07 09:00:00,2024-06-10 09:00:00,BlueDart
ORD169,2024-06-27 02:00:00,2024-06-27 06:00:00,2024-06-27 09:00:00,2024-06-28 09:00:00,Delhivery
ORD170,2024-04-01 02:00:00,2024-04-01 05:00:00,2024-04-01 07:00:00,2024-04-02 07:00:00,Delhivery
ORD171,2024-05-24 03:00:00,2024-05-24 05:00:00,2024-05-24 11:00:00,2024-05-26 11:00:00,Ecom Express
ORD172,2024-06-01 01:00:00,2024-06-01 05:00:00,2024-06-01 14:00:00,2024-06-02 14:00:00,BlueDart
ORD173,2024-01-16 06:00:00,2024-01-16 08:00:00,2024-01-16 11:00:00,2024-01-18 11:00:00,BlueDart
ORD174,2024-05-26 02:00:00,2024-05-26 06:00:00,2024-05-26 15:00:00,2024-05-28 15:00:00,BlueDart
ORD175,2024-05-25 03:00:00,2024-05-25 06:00:00,2024-05-25 10:00:00,2024-05-26 10:00:00,Ecom Express
ORD176,2024-02-03 04:00:00,2024-02-03 06:00:00,2024-02-03 15:00:00,2024-02-04 15:00:00,Ecom Express
ORD177,2024-03-21 02:00:00,2024-03-21 05:00:00,2024-03-21 12:00:00,2024-03-23 12:00:00,BlueDart
ORD178,2024-05-02 06:00:00,2024-05-02 09:00:00,2024-05-02 16:00:00,2024-05-05 16:00:00,Ecom Express
ORD179,2024-05-05 01:00:00,2024-05-05 02:00:00,2024-05-05 07:00:00,2024-05-08 07:00:00,Delhivery
ORD180,2024-01-21 04:00:00,2024-01-21 05:00:00,2024-01-21 10:00:00,2024-01-24 10:00:00,Delhivery
ORD181,2024-03-14 03:00:00,2024-03-14 06:00:00,2024-03-14 11:00:00,2024-03-18 11:00:00,Delhivery
ORD182,2024-03-20 04:00:00,2024-03-20 06:00:00,2024-03-20 11:00:00,2024-03-21 11:00:00,Ecom Express
ORD183,2024-02-20 06:00:00,2024-02-20 10:00:00,2024-02-20 14:00:00,2024-02-23 14:00:00,Ecom Express
ORD184,2024-06-17 05:00:00,2024-06-17 09:00:00,2024-06-17 15:00:00,2024-06-19 15:00:00,BlueDart
ORD185,2024-01-15 03:00:00,2024-01-15 07:00:00,2024-01-15 17:00:00,2024-01-16 17:00:00,BlueDart
ORD186,2024-02-01 03:00:00,2024-02-01 04:00:00,2024-02-01 06:00:00,2024-02-04 06:00:00,Delhivery
ORD187,2024-02-09 05:00:00,2024-02-09 07:00:00,2024-02-09 09:00:00,2024-02-12 09:00:00,Delhivery
ORD188,2024-06-13 05:00:00,2024-06-13 08:00:00,2024-06-13 11:00:00,2024-06-15 11:00:00,Delhivery
ORD189,2024-04-02 02:00:00,2024-04-02 05:00:00,2024-04-02 15:00:00,2024-04-03 15:00:00,BlueDart
ORD190,2024-02-04 06:00:00,2024-02-04 10:00:00,2024-02-04 13:00:00,2024-02-05 13:00:00,Delhivery
ORD191,2024-03-06 02:00:00,2024-03-06 03:00:00,2024-03-06 05:00:00,2024-03-07 05:00:00,Delhivery
ORD192,2024-01-19 02:00:00,2024-01-19 03:00:00,2024-01-19 06:00:00,2024-01-22 06:00:00,Ecom Express
ORD193,2024-01-12 04:00:00,2024-01-12 06:00:00,2024-01-12 13:00:00,2024-01-13 13:00:00,BlueDart
ORD194,2024-01-08 01:00:00,2024-01-08 03:00:00,2024-01-08 05:00:00,2024-01-13 05:00:00,BlueDart
ORD195,2024-04-24 04:00:00,2024-04-24 08:00:00,2024-04-24 13:00:00,2024-04-27 13:00:00,Ecom Express
ORD196,2024-05-20 04:00:00,2024-05-20 08:00:00,2024-05-20 15:00:00,2024-05-21 15:00:00,Delhivery
ORD197,2024-02-15 06:00:00,2024-02-15 08:00:00,2024-02-15 16:00:00,2024-02-21 16:00:00,BlueDart
ORD198,2024-05-12 06:00:00,2024-05-12 09:00:00,2024-05-12 11:00:00,2024-05-16 11:00:00,Delhivery
ORD199,2024-02-18 03:00:00,2024-02-18 05:00:00,2024-02-18 11:00:00,2024-02-19 11:00:00,Delhivery
ORD200,2024-03-31 05:00:00,2024-03-31 06:00:00,2024-03-31 11:00:00,2024-04-03 11:00:00,BlueDart
ORD201,2024-01-27 01:00:00,2024-01-27 04:00:00,2024-01-27 14:00:00,2024-01-30 14:00:00,Delhivery
ORD202,2024-06-24 05:00:00,2024-06-24 09:00:00,2024-06-24 15:00:00,2024-06-30 15:00:00,Ecom Express
ORD203,2024-02-20 02:00:00,2024-02-20 05:00:00,2024-02-20 12:00:00,2024-02-23 12:00:00,Delhivery
ORD204,2024-01-28 03:00:00,2024-01-28 04:00:00,2024-01-28 07:00:00,2024-01-29 07:00:00,Delhivery
ORD205,2024-04-24 05:00:00,2024-04-24 09:00:00,2024-04-24 15:00:00,2024-04-27 15:00:00,BlueDart
ORD206,2024-05-06 02:00:00,2024-05-06 03:00:00,2024-05-06 06:00:00,2024-05-07 06:00:00,Delhivery
ORD207,2024-01-25 06:00:00,2024-01-25 08:00:00,2024-01-25 12:00:00,2024-01-27 12:00:00,BlueDart
ORD208,2024-03-06 04:00:00,2024-03-06 05:00:00,2024-03-06 15:00:00,2024-03-08 15:00:00,Delhivery
ORD209,2024-04-25 01:00:00,2024-04-25 05:00:00,2024-04-25 12:00:00,2024-04-28 12:00:00,BlueDart
ORD210,2024-05-01 05:00:00,2024-05-01 08:00:00,2024-05-01 13:00:00,2024-05-02 13:00:00,Ecom Express
ORD211,2024-01-09 03:00:00,2024-01-09 06:00:00,2024-01-09 15:00:00,2024-01-11 15:00:00,BlueDart
ORD212,2024-03-12 03:00:00,2024-03-12 07:00:00,2024-03-12 17:00:00,2024-03-15 17:00:00,BlueDart
ORD213,2024-03-29 03:00:00,2024-03-29 04:00:00,2024-03-29 07:00:00,2024-03-30 07:00:00,Ecom Express
ORD214,2024-06-20 01:00:00,2024-06-20 02:00:00,2024-06-20 10:00:00,2024-06-21 10:00:00,BlueDart
ORD215,2024-06-05 03:00:00,2024-06-05 05:00:00,2024-06-05 10:00:00,2024-06-08 10:00:00,Ecom Express
ORD216,2024-03-30 06:00:00,2024-03-30 07:00:00,2024-03-30 17:00:00,2024-04-02 17:00:00,Ecom Express
ORD217,2024-03-13 03:00:00,2024-03-13 05:00:00,2024-03-13 07:00:00,2024-03-14 07:00:00,BlueDart
ORD218,2024-04-17 06:00:00,2024-04-17 08:00:00,2024-04-17 17:00:00,2024-04-19 17:00:00,Delhivery
ORD219,2024-05-29 06:00:00,2024-05-29 08:00:00,2024-05-29 14:00:00,2024-06-03 14:00:00,BlueDart
ORD220,2024-05-12 02:00:00,2024-05-12 06:00:00,2024-05-12 12:00:00,2024-05-15 12:00:00,Ecom Express
