order_id,order_date,customer_id,order_value,payment_type,warehouse,order_status,pick_time,pack_time,ship_time,delivery_time,carrier,ticket_id,issue_type,created_time,resolved_time,status,pick_delay_hrs,pack_delay_hrs,ship_delay_hrs,delivery_days,support_resolution_hrs,sla_breached,optimized_resolution
ORD11,2024-01-07,1769,59.8,Wallet,Bangalore,Delivered,2024-01-07 01:00:00,2024-01-07 04:00:00,2024-01-07 07:00:00,2024-01-10 07:00:00,Delhivery,,,,,,1.0,3.0,3.0,3,,False,
ORD12,2024-02-10,3391,163.65,UPI,Bangalore,Delivered,2024-02-10 06:00:00,2024-02-10 10:00:00,2024-02-10 13:00:00,2024-02-11 13:00:00,Ecom Express,,,,,,6.0,4.0,3.0,1,,False,
ORD13,2024-06-27,3433,94.1,UPI,Mumbai,Delivered,2024-06-27 02:00:00,2024-06-27 04:00:00,2024-06-27 13:00:00,2024-06-28 13:00:00,Delhivery,,,,,,2.0,2.0,9.0,1,,False,
ORD14,2024-01-01,2184,192.38,UPI,Mumbai,Delayed,2024-01-01 02:00:00,2024-01-01 04:00:00,2024-01-01 13:00:00,2024-01-05 13:00:00,Ecom Express,,,,,,2.0,2.0,9.0,4,,True,
ORD15,2024-05-08,5555,44.2,Wallet,Hyderabad,Delivered,2024-05-08 04:00:00,2024-05-08 08:00:00,2024-05-08 11:00:00,2024-05-10 11:00:00,Delhivery,,,,,,4.0,4.0,3.0,2,,False,
ORD16,2024-01-08,4385,199.93,Credit Card,Hyderabad,Delivered,2024-01-08 06:00:00,2024-01-08 08:00:00,2024-01-08 12:00:00,2024-01-09 12:00:00,Ecom Express,,,,,,6.0,2.0,4.0,1,,False,
ORD17,2024-05-08,5117,92.16,UPI,Hyderabad,Delivered,2024-05-08 06:00:00,2024-05-08 10:00:00,2024-05-08 16:00:00,2024-05-11 16:00:00,Ecom Express,TKT2617,Wrong Item,2024-05-15,2024-05-15 19:00:00,Closed,6.0,4.0,6.0,3,19.0,False,19.0
ORD18,2024-04-03,5843,10.07,Credit Card,Mumbai,Delivered,2024-04-03 03:00:00,2024-04-03 07:00:00,2024-04-03 11:00:00,2024-04-04 11:00:00,BlueDart,TKT876,Late Delivery,2024-06-16,2024-06-18 06:00:00,Closed,3.0,4.0,4.0,1,54.0,False,37.8
ORD19,2024-05-03,3904,46.81,UPI,Delhi,Delivered,2024-05-03 05:00:00,2024-05-03 08:00:00,2024-05-03 13:00:00,2024-05-06 13:00:00,Ecom Express,,,,,,5.0,3.0,5.0,3,,False,
ORD20,2024-05-23,1474,280.75,Credit Card,Hyderabad,Delayed,2024-05-23 03:00:00,2024-05-23 06:00:00,2024-05-23 09:00:00,2024-05-29 09:00:00,Ecom Express,TKT2181,Refund,2024-03-12,2024-03-13 07:00:00,Closed,3.0,3.0,3.0,6,31.0,True,18.599999999999998
ORD21,2024-03-27,2082,261.53,UPI,Mumbai,Delivered,2024-03-27 01:00:00,2024-03-27 03:00:00,2024-03-27 09:00:00,2024-03-28 09:00:00,Ecom Express,TKT216,Refund,2024-03-17,2024-03-18 00:00:00,Closed,1.0,2.0,6.0,1,24.0,False,14.399999999999999
ORD22,2024-05-19,3558,77.75,Credit Card,Delhi,Delivered,2024-05-19 03:00:00,2024-05-19 04:00:00,2024-05-19 14:00:00,2024-05-21 14:00:00,BlueDart,,,,,,3.0,1.0,10.0,2,,False,
ORD23,2024-06-14,3047,235.73,COD,Bangalore,Delivered,2024-06-14 02:00:00,2024-06-14 05:00:00,2024-06-14 11:00:00,2024-06-15 11:00:00,BlueDart,,,,,,2.0,3.0,6.0,1,,False,
ORD24,2024-03-11,3747,186.49,Wallet,Mumbai,Delivered,2024-03-11 04:00:00,2024-03-11 05:00:00,2024-03-11 07:00:00,2024-03-12 07:00:00,BlueDart,,,,,,4.0,1.0,2.0,1,,False,
ORD25,2024-05-10,1975,291.56,UPI,Hyderabad,Delivered,2024-05-10 02:00:00,2024-05-10 06:00:00,2024-05-10 14:00:00,2024-05-12 14:00:00,BlueDart,TKT2158,Late Delivery,2024-06-04,2024-06-04 08:00:00,Closed,2.0,4.0,8.0,2,8.0,False,5.6
ORD26,2024-03-26,2806,118.35,Wallet,Hyderabad,Cancelled,2024-03-26 05:00:00,2024-03-26 06:00:00,2024-03-26 12:00:00,2024-03-28 12:00:00,Ecom Express,,,,,,5.0,1.0,6.0,2,,False,
ORD27,2024-04-10,1189,207.62,UPI,Delhi,Delivered,2024-04-10 02:00:00,2024-04-10 04:00:00,2024-04-10 11:00:00,2024-04-13 11:00:00,Delhivery,,,,,,2.0,2.0,7.0,3,,False,
ORD28,2024-06-23,3734,28.43,COD,Delhi,Delivered,2024-06-23 01:00:00,2024-06-23 03:00:00,2024-06-23 10:00:00,2024-06-25 10:00:00,BlueDart,TKT0,Wrong Item,2024-01-17,2024-01-17 03:00:00,Closed,1.0,2.0,7.0,2,3.0,False,3.0
ORD29,2024-05-23,4005,124.91,COD,Mumbai,Delivered,2024-05-23 02:00:00,2024-05-23 06:00:00,2024-05-23 10:00:00,2024-05-24 10:00:00,BlueDart,TKT1835,Wrong Item,2024-05-01,2024-05-03 15:00:00,Closed,2.0,4.0,4.0,1,63.0,False,63.0
ORD30,2024-04-22,5658,289.51,Wallet,Delhi,Delivered,2024-04-22 02:00:00,2024-04-22 04:00:00,2024-04-22 10:00:00,2024-04-25 10:00:00,Delhivery,,,,,,2.0,2.0,6.0,3,,False,
ORD31,2024-04-21,2899,166.3,UPI,Mumbai,Delivered,2024-04-21 05:00:00,2024-04-21 07:00:00,2024-04-21 10:00:00,2024-04-24 10:00:00,Ecom Express,,,,,,5.0,2.0,3.0,3,,False,
ORD32,2024-05-04,2267,93.49,Credit Card,Delhi,Delivered,2024-05-04 02:00:00,2024-05-04 06:00:00,2024-05-04 10:00:00,2024-05-05 10:00:00,BlueDart,,,,,,2.0,4.0,4.0,1,,False,
ORD33,2024-06-03,2528,44.88,UPI,Bangalore,Delivered,2024-06-03 05:00:00,2024-06-03 06:00:00,2024-06-03 15:00:00,2024-06-06 15:00:00,Ecom Express,,,,,,5.0,1.0,9.0,3,,False,
ORD34,2024-01-16,4202,214.02,Credit Card,Hyderabad,Delivered,2024-01-16 05:00:00,2024-01-16 09:00:00,2024-01-16 15:00:00,2024-01-17 15:00:00,Delhivery,,,,,,5.0,4.0,6.0,1,,False,
ORD35,2024-01-26,4556,197.01,Wallet,Hyderabad,Delivered,2024-01-26 04:00:00,2024-01-26 06:00:00,2024-01-26 11:00:00,2024-01-27 11:00:00,Delhivery,TKT651,Damaged Item,2024-03-05,2024-03-06 03:00:00,Closed,4.0,2.0,5.0,1,27.0,False,27.0
ORD35,2024-01-26,4556,197.01,Wallet,Hyderabad,Delivered,2024-01-26 04:00:00,2024-01-26 06:00:00,2024-01-26 11:00:00,2024-01-27 11:00:00,Delhivery,TKT2235,Late Delivery,2024-01-04,2024-01-05 08:00:00,Closed,4.0,2.0,5.0,1,32.0,False,22.4
ORD36,2024-03-01,4890,118.44,Wallet,Bangalore,Delivered,2024-03-01 01:00:00,2024-03-01 02:00:00,2024-03-01 12:00:00,2024-03-04 12:00:00,Ecom Express,,,,,,1.0,1.0,10.0,3,,False,
ORD37,2024-04-13,1646,285.77,COD,Hyderabad,Delayed,2024-04-13 04:00:00,2024-04-13 08:00:00,2024-04-13 16:00:00,2024-04-19 16:00:00,Ecom Express,,,,,,4.0,4.0,8.0,6,,True,
ORD38,2024-02-24,3888,16.44,Credit Card,Hyderabad,Delivered,2024-02-24 01:00:00,2024-02-24 03:00:00,2024-02-24 12:00:00,2024-02-27 12:00:00,BlueDart,,,,,,1.0,2.0,9.0,3,,False,
ORD39,2024-05-15,3435,98.08,UPI,Hyderabad,Delayed,2024-05-15 04:00:00,2024-05-15 08:00:00,2024-05-15 11:00:00,2024-05-20 11:00:00,Delhivery,,,,,,4.0,4.0,3.0,5,,True,
ORD40,2024-05-04,1600,277.11,COD,Hyderabad,Delivered,2024-05-04 06:00:00,2024-05-04 10:00:00,2024-05-04 19:00:00,2024-05-07 19:00:00,BlueDart,,,,,,6.0,4.0,9.0,3,,False,
ORD41,2024-04-07,3363,103.07,Wallet,Bangalore,Delivered,2024-04-07 04:00:00,2024-04-07 05:00:00,2024-04-07 08:00:00,2024-04-10 08:00:00,Delhivery,TKT2418,Wrong Item,2024-02-16,2024-02-16 20:00:00,Closed,4.0,1.0,3.0,3,20.0,False,20.0
ORD42,2024-05-24,3061,83.15,COD,Mumbai,Cancelled,2024-05-24 06:00:00,2024-05-24 07:00:00,2024-05-24 17:00:00,2024-05-25 17:00:00,Ecom Express,,,,,,6.0,1.0,10.0,1,,False,
ORD43,2024-01-21,1241,164.92,UPI,Hyderabad,Delivered,2024-01-21 05:00:00,2024-01-21 07:00:00,2024-01-21 12:00:00,2024-01-24 12:00:00,Delhivery,TKT2803,Late Delivery,2024-04-22,2024-04-24 13:00:00,Closed,5.0,2.0,5.0,3,61.0,False,42.699999999999996
ORD44,2024-02-29,3041,248.9,UPI,Bangalore,Delivered,2024-02-29 04:00:00,2024-02-29 05:00:00,2024-02-29 15:00:00,2024-03-01 15:00:00,BlueDart,TKT939,Late Delivery,2024-05-23,2024-05-25 04:00:00,Closed,4.0,1.0,10.0,1,52.0,False,36.4
ORD45,2024-05-18,3824,39.91,Wallet,Hyderabad,Delivered,2024-05-18 05:00:00,2024-05-18 08:00:00,2024-05-18 15:00:00,2024-05-21 15:00:00,BlueDart,,,,,,5.0,3.0,7.0,3,,False,
ORD46,2024-02-09,3612,283.48,COD,Bangalore,Delivered,2024-02-09 06:00:00,2024-02-09 10:00:00,2024-02-09 19:00:00,2024-02-10 19:00:00,BlueDart,TKT1301,Refund,2024-02-10,2024-02-12 12:00:00,Closed,6.0,4.0,9.0,1,60.0,False,36.0
ORD47,2024-05-25,2363,240.57,Credit Card,Bangalore,Delivered,2024-05-25 06:00:00,2024-05-25 08:00:00,2024-05-25 18:00:00,2024-05-27 18:00:00,Ecom Express,,,,,,6.0,2.0,10.0,2,,False,
ORD48,2024-05-26,2478,62.56,Credit Card,Mumbai,Delivered,2024-05-26 05:00:00,2024-05-26 07:00:00,2024-05-26 14:00:00,2024-05-28 14:00:00,Delhivery,,,,,,5.0,2.0,7.0,2,,False,
ORD49,2024-01-01,3556,216.48,Credit Card,Delhi,Delivered,2024-01-01 03:00:00,2024-01-01 05:00:00,2024-01-01 11:00:00,2024-01-03 11:00:00,BlueDart,TKT3,Refund,2024-04-23,2024-04-23 06:00:00,Closed,3.0,2.0,6.0,2,6.0,False,3.5999999999999996
ORD50,2024-03-23,1775,121.64,UPI,Mumbai,Delivered,2024-03-23 06:00:00,2024-03-23 10:00:00,2024-03-23 12:00:00,2024-03-26 12:00:00,BlueDart,TKT2058,Refund,2024-03-24,2024-03-26 00:00:00,Closed,6.0,4.0,2.0,3,48.0,False,28.799999999999997
ORD51,2024-06-07,5014,126.67,COD,Mumbai,Delivered,2024-06-07 02:00:00,2024-06-07 04:00:00,2024-06-07 13:00:00,2024-06-08 13:00:00,Ecom Express,,,,,,2.0,2.0,9.0,1,,False,
ORD52,2024-02-26,1034,237.15,Credit Card,Hyderabad,Delivered,2024-02-26 03:00:00,2024-02-26 06:00:00,2024-02-26 12:00:00,2024-02-28 12:00:00,Delhivery,,,,,,3.0,3.0,6.0,2,,False,
ORD53,2024-03-31,4152,289.21,COD,Bangalore,Delivered,2024-03-31 06:00:00,2024-03-31 10:00:00,2024-03-31 20:00:00,2024-04-01 20:00:00,BlueDart,,,,,,6.0,4.0,10.0,1,,False,
ORD54,2024-05-30,2955,46.73,Wallet,Delhi,Delayed,2024-05-30 01:00:00,2024-05-30 04:00:00,2024-05-30 08:00:00,2024-06-06 08:00:00,BlueDart,TKT718,Damaged Item,2024-04-06,2024-04-06 23:00:00,Closed,1.0,3.0,4.0,7,23.0,True,23.0
ORD54,2024-05-30,2955,46.73,Wallet,Delhi,Delayed,2024-05-30 01:00:00,2024-05-30 04:00:00,2024-05-30 08:00:00,2024-06-06 08:00:00,BlueDart,TKT1302,Late Delivery,2024-05-01,2024-05-01 11:00:00,Closed,1.0,3.0,4.0,7,11.0,True,7.699999999999999
ORD55,2024-03-08,2585,131.98,Credit Card,Bangalore,Delivered,2024-03-08 02:00:00,2024-03-08 03:00:00,2024-03-08 06:00:00,2024-03-09 06:00:00,Ecom Express,,,,,,2.0,1.0,3.0,1,,False,
ORD56,2024-03-28,4943,149.47,COD,Hyderabad,Delivered,2024-03-28 02:00:00,2024-03-28 06:00:00,2024-03-28 16:00:00,2024-03-30 16:00:00,Delhivery,TKT1652,Damaged Item,2024-02-08,2024-02-10 23:00:00,Closed,2.0,4.0,10.0,2,71.0,False,71.0
ORD57,2024-06-03,4073,119.13,UPI,Bangalore,Delayed,2024-06-03 01:00:00,2024-06-03 02:00:00,2024-06-03 12:00:00,2024-06-07 12:00:00,Delhivery,,,,,,1.0,1.0,10.0,4,,True,
ORD58,2024-03-31,2021,115.32,Wallet,Hyderabad,Delivered,2024-03-31 05:00:00,2024-03-31 07:00:00,2024-03-31 11:00:00,2024-04-03 11:00:00,Delhivery,,,,,,5.0,2.0,4.0,3,,False,
ORD59,2024-02-17,4461,25.16,Wallet,Mumbai,Delivered,2024-02-17 04:00:00,2024-02-17 05:00:00,2024-02-17 12:00:00,2024-02-18 12:00:00,Delhivery,,,,,,4.0,1.0,7.0,1,,False,
ORD60,2024-02-26,3613,208.81,Wallet,Mumbai,Cancelled,2024-02-26 04:00:00,2024-02-26 07:00:00,2024-02-26 14:00:00,2024-02-27 14:00:00,BlueDart,,,,,,4.0,3.0,7.0,1,,False,
ORD61,2024-06-16,4843,136.5,Wallet,Hyderabad,Delayed,2024-06-16 04:00:00,2024-06-16 05:00:00,2024-06-16 07:00:00,2024-06-22 07:00:00,BlueDart,,,,,,4.0,1.0,2.0,6,,True,
ORD62,2024-05-01,2500,66.49,UPI,Mumbai,Delivered,2024-05-01 01:00:00,2024-05-01 03:00:00,2024-05-01 06:00:00,2024-05-03 06:00:00,Delhivery,,,,,,1.0,2.0,3.0,2,,False,
ORD63,2024-02-23,5798,246.65,UPI,Bangalore,Delivered,2024-02-23 05:00:00,2024-02-23 09:00:00,2024-02-23 16:00:00,2024-02-24 16:00:00,Ecom Express,TKT1375,Refund,2024-02-04,2024-02-06 11:00:00,Closed,5.0,4.0,7.0,1,59.0,False,35.4
ORD64,2024-02-28,1161,242.74,Credit Card,Delhi,Delivered,2024-02-28 05:00:00,2024-02-28 07:00:00,2024-02-28 09:00:00,2024-03-02 09:00:00,BlueDart,,,,,,5.0,2.0,2.0,3,,False,
ORD65,2024-03-04,5297,151.05,UPI,Delhi,Delayed,2024-03-04 02:00:00,2024-03-04 06:00:00,2024-03-04 14:00:00,2024-03-10 14:00:00,BlueDart,,,,,,2.0,4.0,8.0,6,,True,
ORD66,2024-04-05,2981,96.55,UPI,Bangalore,Cancelled,2024-04-05 02:00:00,2024-04-05 04:00:00,2024-04-05 14:00:00,2024-04-06 14:00:00,Ecom Express,,,,,,2.0,2.0,10.0,1,,False,
ORD67,2024-06-16,1995,195.05,Wallet,Delhi,Delivered,2024-06-16 02:00:00,2024-06-16 05:00:00,2024-06-16 09:00:00,2024-06-19 09:00:00,Ecom Express,,,,,,2.0,3.0,4.0,3,,False,
ORD68,2024-01-05,5911,93.56,UPI,Bangalore,Delivered,2024-01-05 04:00:00,2024-01-05 07:00:00,2024-01-05 12:00:00,2024-01-08 12:00:00,Delhivery,,,,,,4.0,3.0,5.0,3,,False,
ORD69,2024-04-22,4342,78.44,Wallet,Hyderabad,Delayed,2024-04-22 05:00:00,2024-04-22 09:00:00,2024-04-22 19:00:00,2024-04-26 19:00:00,BlueDart,,,,,,5.0,4.0,10.0,4,,True,
ORD70,2024-04-09,5551,221.85,COD,Delhi,Delivered,2024-04-09 02:00:00,2024-04-09 06:00:00,2024-04-09 10:00:00,2024-04-10 10:00:00,Ecom Express,,,,,,2.0,4.0,4.0,1,,False,
ORD71,2024-04-22,4798,21.69,COD,Hyderabad,Delivered,2024-04-22 03:00:00,2024-04-22 05:00:00,2024-04-22 15:00:00,2024-04-23 15:00:00,Ecom Express,,,,,,3.0,2.0,10.0,1,,False,
ORD72,2024-04-27,2275,37.48,COD,Hyderabad,Delivered,2024-04-27 03:00:00,2024-04-27 07:00:00,2024-04-27 10:00:00,2024-04-28 10:00:00,Delhivery,,,,,,3.0,4.0,3.0,1,,False,
ORD73,2024-01-27,2016,11.97,COD,Bangalore,Delivered,2024-01-27 06:00:00,2024-01-27 10:00:00,2024-01-27 14:00:00,2024-01-29 14:00:00,Ecom Express,,,,,,6.0,4.0,4.0,2,,False,
ORD74,2024-02-06,1337,54.35,COD,Delhi,Delayed,2024-02-06 01:00:00,2024-02-06 03:00:00,2024-02-06 06:00:00,2024-02-11 06:00:00,BlueDart,TKT1179,Late Delivery,2024-03-19,2024-03-21 20:00:00,Closed,1.0,2.0,3.0,5,68.0,True,47.599999999999994
ORD75,2024-05-12,1878,30.01,COD,Mumbai,Delayed,2024-05-12 05:00:00,2024-05-12 08:00:00,2024-05-12 14:00:00,2024-05-18 14:00:00,Ecom Express,TKT795,Damaged Item,2024-03-19,2024-03-19 21:00:00,Closed,5.0,3.0,6.0,6,21.0,True,21.0
ORD76,2024-01-12,2076,298.78,COD,Mumbai,Delivered,2024-01-12 05:00:00,2024-01-12 08:00:00,2024-01-12 17:00:00,2024-01-14 17:00:00,BlueDart,,,,,,5.0,3.0,9.0,2,,False,
ORD77,2024-02-08,5887,93.75,Wallet,Mumbai,Delivered,2024-02-08 02:00:00,2024-02-08 04:00:00,2024-02-08 09:00:00,2024-02-10 09:00:00,Ecom Express,,,,,,2.0,2.0,5.0,2,,False,
ORD78,2024-03-16,4993,53.29,Wallet,Mumbai,Delivered,2024-03-16 05:00:00,2024-03-16 08:00:00,2024-03-16 14:00:00,2024-03-18 14:00:00,BlueDart,TKT975,Refund,2024-06-15,2024-06-15 22:00:00,Closed,5.0,3.0,6.0,2,22.0,False,13.2
ORD79,2024-01-13,5859,79.89,Wallet,Bangalore,Delayed,2024-01-13 02:00:00,2024-01-13 04:00:00,2024-01-13 07:00:00,2024-01-17 07:00:00,Ecom Express,,,,,,2.0,2.0,3.0,4,,True,
ORD80,2024-02-20,1379,281.48,Wallet,Hyderabad,Delivered,2024-02-20 05:00:00,2024-02-20 07:00:00,2024-02-20 17:00:00,2024-02-21 17:00:00,Delhivery,TKT614,Refund,2024-01-27,2024-01-28 06:00:00,Closed,5.0,2.0,10.0,1,30.0,False,18.0
ORD81,2024-06-05,1492,160.85,UPI,Delhi,Delivered,2024-06-05 01:00:00,2024-06-05 02:00:00,2024-06-05 07:00:00,2024-06-08 07:00:00,Delhivery,TKT2695,Late Delivery,2024-04-09,2024-04-11 06:00:00,Closed,1.0,1.0,5.0,3,54.0,False,37.8
ORD82,2024-01-30,3062,115.8,UPI,Bangalore,Delivered,2024-01-30 03:00:00,2024-01-30 06:00:00,2024-01-30 10:00:00,2024-01-31 10:00:00,Delhivery,TKT928,Late Delivery,2024-06-13,2024-06-15 05:00:00,Closed,3.0,3.0,4.0,1,53.0,False,37.099999999999994
ORD83,2024-01-09,4884,263.28,Credit Card,Mumbai,Delivered,2024-01-09 04:00:00,2024-01-09 08:00:00,2024-01-09 14:00:00,2024-01-12 14:00:00,BlueDart,,,,,,4.0,4.0,6.0,3,,False,
ORD84,2024-01-13,1064,124.55,UPI,Delhi,Delivered,2024-01-13 01:00:00,2024-01-13 04:00:00,2024-01-13 06:00:00,2024-01-15 06:00:00,BlueDart,TKT761,Damaged Item,2024-04-21,2024-04-22 20:00:00,Closed,1.0,3.0,2.0,2,44.0,False,44.0
ORD85,2024-03-16,3568,107.15,Wallet,Bangalore,Cancelled,2024-03-16 02:00:00,2024-03-16 06:00:00,2024-03-16 10:00:00,2024-03-18 10:00:00,Ecom Express,,,,,,2.0,4.0,4.0,2,,False,
ORD86,2024-01-27,3027,70.11,Wallet,Hyderabad,Delivered,2024-01-27 01:00:00,2024-01-27 03:00:00,2024-01-27 06:00:00,2024-01-28 06:00:00,BlueDart,,,,,,1.0,2.0,3.0,1,,False,
ORD87,2024-06-06,3695,119.56,COD,Mumbai,Delivered,2024-06-06 06:00:00,2024-06-06 08:00:00,2024-06-06 18:00:00,2024-06-08 18:00:00,Delhivery,,,,,,6.0,2.0,10.0,2,,False,
ORD88,2024-04-14,2495,101.84,COD,Delhi,Delivered,2024-04-14 05:00:00,2024-04-14 09:00:00,2024-04-14 13:00:00,2024-04-15 13:00:00,Ecom Express,,,,,,5.0,4.0,4.0,1,,False,
ORD89,2024-06-09,1391,206.42,Credit Card,Delhi,Delivered,2024-06-09 03:00:00,2024-06-09 04:00:00,2024-06-09 13:00:00,2024-06-12 13:00:00,Ecom Express,TKT1602,Late Delivery,2024-02-28,2024-02-28 18:00:00,Closed,3.0,1.0,9.0,3,18.0,False,12.6
ORD90,2024-05-11,5514,93.98,UPI,Mumbai,Delivered,2024-05-11 06:00:00,2024-05-11 09:00:00,2024-05-11 13:00:00,2024-05-13 13:00:00,BlueDart,,,,,,6.0,3.0,4.0,2,,False,
ORD91,2024-01-19,5474,177.39,Wallet,Hyderabad,Delivered,2024-01-19 05:00:00,2024-01-19 06:00:00,2024-01-19 15:00:00,2024-01-22 15:00:00,BlueDart,,,,,,5.0,1.0,9.0,3,,False,
ORD92,2024-01-30,4561,29.11,UPI,Mumbai,Delayed,2024-01-30 03:00:00,2024-01-30 04:00:00,2024-01-30 09:00:00,2024-02-04 09:00:00,Ecom Express,,,,,,3.0,1.0,5.0,5,,True,
ORD93,2024-04-21,3278,65.47,Credit Card,Hyderabad,Delivered,2024-04-21 06:00:00,2024-04-21 09:00:00,2024-04-21 12:00:00,2024-04-24 12:00:00,Delhivery,,,,,,6.0,3.0,3.0,3,,False,
ORD94,2024-02-03,4099,128.15,COD,Delhi,Delivered,2024-02-03 05:00:00,2024-02-03 07:00:00,2024-02-03 11:00:00,2024-02-04 11:00:00,BlueDart,,,,,,5.0,2.0,4.0,1,,False,
ORD95,2024-06-18,1200,281.72,Wallet,Mumbai,Delivered,2024-06-18 02:00:00,2024-06-18 03:00:00,2024-06-18 10:00:00,2024-06-21 10:00:00,Ecom Express,TKT365,Refund,2024-05-22,2024-05-24 03:00:00,Closed,2.0,1.0,7.0,3,51.0,False,30.599999999999998
ORD96,2024-04-28,5875,119.4,COD,Hyderabad,Delayed,2024-04-28 01:00:00,2024-04-28 02:00:00,2024-04-28 10:00:00,2024-05-03 10:00:00,Ecom Express,,,,,,1.0,1.0,8.0,5,,True,
ORD97,2024-02-06,4104,202.58,Wallet,Hyderabad,Delivered,2024-02-06 01:00:00,2024-02-06 04:00:00,2024-02-06 08:00:00,2024-02-09 08:00:00,Ecom Express,,,,,,1.0,3.0,4.0,3,,False,
ORD98,2024-04-01,5598,83.98,COD,Bangalore,Delayed,2024-04-01 04:00:00,2024-04-01 06:00:00,2024-04-01 08:00:00,2024-04-07 08:00:00,BlueDart,TKT133,Refund,2024-06-07,2024-06-07 23:00:00,Closed,4.0,2.0,2.0,6,23.0,True,13.799999999999999
ORD99,2024-04-13,3454,46.84,COD,Hyderabad,Delivered,2024-04-13 04:00:00,2024-04-13 05:00:00,2024-04-13 15:00:00,2024-04-16 15:00:00,BlueDart,,,,,,4.0,1.0,10.0,3,,False,
ORD100,2024-01-13,4645,26.98,Credit Card,Mumbai,Delivered,2024-01-13 05:00:00,2024-01-13 08:00:00,2024-01-13 10:00:00,2024-01-14 10:00:00,Ecom Express,TKT520,Refund,2024-06-15,2024-06-16 04:00:00,Closed,5.0,3.0,2.0,1,28.0,False,16.8
ORD100,2024-01-13,4645,26.98,Credit Card,Mumbai,Delivered,2024-01-13 05:00:00,2024-01-13 08:00:00,2024-01-13 10:00:00,2024-01-14 10:00:00,Ecom Express,TKT2125,Late Delivery,2024-01-26,2024-01-27 04:00:00,Closed,5.0,3.0,2.0,1,28.0,False,19.599999999999998
ORD101,2024-06-10,1804,98.57,UPI,Mumbai,Delivered,2024-06-10 06:00:00,2024-06-10 09:00:00,2024-06-10 11:00:00,2024-06-13 11:00:00,Delhivery,,,,,,6.0,3.0,2.0,3,,False,
ORD102,2024-06-05,3731,55.72,COD,Hyderabad,Cancelled,2024-06-05 03:00:00,2024-06-05 07:00:00,2024-06-05 09:00:00,2024-06-07 09:00:00,Delhivery,TKT2759,Damaged Item,2024-03-13,2024-03-14 13:00:00,Closed,3.0,4.0,2.0,2,37.0,False,37.0
ORD103,2024-02-10,3773,60.46,Wallet,Mumbai,Delivered,2024-02-10 01:00:00,2024-02-10 02:00:00,2024-02-10 06:00:00,2024-02-12 06:00:00,Delhivery,TKT7,Wrong Item,2024-04-05,2024-04-07 02:00:00,Closed,1.0,1.0,4.0,2,50.0,False,50.0
